datetime,open,high,low,close,volume
2025-08-18 09:15:00+05:30,1433.7,1433.7,1416.5,1417.5,368163
2025-08-18 09:20:00+05:30,1417.5,1418.3,1413.6,1416.2,142273
2025-08-18 09:25:00+05:30,1416.2,1417.3,1414.4,1414.8,122040
2025-08-18 09:30:00+05:30,1415.0,1416.4,1413.0,1415.5,95461
2025-08-18 09:35:00+05:30,1415.6,1415.6,1413.7,1414.5,49502
2025-08-18 09:40:00+05:30,1414.3,1416.4,1413.7,1416.0,79956
2025-08-18 09:45:00+05:30,1416.0,1418.0,1415.6,1418.0,124135
2025-08-18 09:50:00+05:30,1417.7,1418.0,1415.5,1415.7,71760
2025-08-18 09:55:00+05:30,1416.1,1418.0,1415.7,1416.9,64590
2025-08-18 10:00:00+05:30,1417.4,1417.5,1415.7,1415.8,54094
2025-08-18 10:05:00+05:30,1415.8,1416.5,1415.5,1416.0,58131
2025-08-18 10:10:00+05:30,1416.0,1416.8,1415.4,1415.8,62682
2025-08-18 10:15:00+05:30,1415.8,1415.8,1413.9,1414.3,82868
2025-08-18 10:20:00+05:30,1414.3,1415.1,1411.1,1411.8,84227
2025-08-18 10:25:00+05:30,1411.8,1412.4,1410.8,1411.2,75149
2025-08-18 10:30:00+05:30,1411.2,1412.0,1408.5,1409.5,94366
2025-08-18 10:35:00+05:30,1409.4,1410.9,1408.9,1410.8,61822
2025-08-18 10:40:00+05:30,1410.8,1412.1,1410.3,1411.2,51582
2025-08-18 10:45:00+05:30,1411.4,1411.4,1409.6,1410.2,50499
2025-08-18 10:50:00+05:30,1410.2,1410.7,1409.1,1409.7,55665
2025-08-18 10:55:00+05:30,1409.7,1410.7,1409.1,1409.5,42312
2025-08-18 11:00:00+05:30,1409.5,1410.5,1408.6,1409.1,43287
2025-08-18 11:05:00+05:30,1409.1,1410.0,1408.8,1409.4,35686
2025-08-18 11:10:00+05:30,1409.5,1410.1,1409.2,1409.7,74195
2025-08-18 11:15:00+05:30,1409.9,1410.5,1409.2,1409.3,47081
2025-08-18 11:20:00+05:30,1409.4,1409.4,1407.6,1409.2,69879
2025-08-18 11:25:00+05:30,1409.2,1409.3,1407.7,1407.7,31821
2025-08-18 11:30:00+05:30,1407.8,1408.7,1405.6,1405.9,85512
2025-08-18 11:35:00+05:30,1405.7,1406.5,1404.2,1405.8,88623
2025-08-18 11:40:00+05:30,1405.8,1406.8,1405.6,1406.0,83746
2025-08-18 11:45:00+05:30,1406.0,1407.3,1404.9,1404.9,35312
2025-08-18 11:50:00+05:30,1405.1,1405.3,1404.4,1404.7,60370
2025-08-18 11:55:00+05:30,1404.6,1405.1,1402.6,1403.4,65041
2025-08-18 12:00:00+05:30,1403.5,1403.5,1402.0,1402.3,63166
2025-08-18 12:05:00+05:30,1402.3,1402.5,1399.4,1399.7,98258
2025-08-18 12:10:00+05:30,1399.8,1402.5,1399.3,1401.6,142478
2025-08-18 12:15:00+05:30,1401.6,1404.0,1401.4,1402.9,85940
2025-08-18 12:20:00+05:30,1403.1,1403.2,1402.5,1402.6,56228
2025-08-18 12:25:00+05:30,1402.6,1404.2,1402.2,1402.3,87678
2025-08-18 12:30:00+05:30,1402.3,1402.4,1400.7,1401.8,50366
2025-08-18 12:35:00+05:30,1401.8,1402.0,1399.8,1400.3,45181
2025-08-18 12:40:00+05:30,1400.2,1401.8,1400.2,1401.4,44192
2025-08-18 12:45:00+05:30,1401.3,1401.7,1400.9,1401.0,35926
2025-08-18 12:50:00+05:30,1401.0,1404.4,1400.7,1403.4,153381
2025-08-18 12:55:00+05:30,1403.4,1405.3,1402.0,1404.4,75580
2025-08-18 13:00:00+05:30,1404.7,1405.2,1403.7,1405.1,87742
2025-08-18 13:05:00+05:30,1405.1,1406.4,1404.6,1405.9,35724
2025-08-18 13:10:00+05:30,1405.9,1408.1,1405.9,1407.2,109009
2025-08-18 13:15:00+05:30,1407.3,1408.7,1407.0,1407.7,47552
2025-08-18 13:20:00+05:30,1407.8,1408.8,1406.7,1407.4,45184
2025-08-18 13:25:00+05:30,1407.4,1408.4,1407.2,1408.1,28268
2025-08-18 13:30:00+05:30,1408.0,1408.1,1407.2,1407.4,38592
2025-08-18 13:35:00+05:30,1407.4,1407.8,1406.9,1407.2,52608
2025-08-18 13:40:00+05:30,1407.2,1407.6,1405.1,1405.8,61505
2025-08-18 13:45:00+05:30,1406.3,1406.3,1404.8,1405.3,30028
2025-08-18 13:50:00+05:30,1405.3,1407.2,1405.2,1406.2,68207
2025-08-18 13:55:00+05:30,1406.4,1407.0,1404.2,1406.3,120032
2025-08-18 14:00:00+05:30,1406.3,1407.2,1404.6,1407.1,69501
2025-08-18 14:05:00+05:30,1407.1,1408.2,1407.1,1407.6,42742
2025-08-18 14:10:00+05:30,1407.6,1408.7,1406.7,1407.1,44293
2025-08-18 14:15:00+05:30,1407.2,1408.0,1406.5,1406.8,37115
2025-08-18 14:20:00+05:30,1406.8,1407.3,1406.6,1407.2,35997
2025-08-18 14:25:00+05:30,1407.2,1408.5,1406.9,1407.3,59289
2025-08-18 14:30:00+05:30,1407.3,1408.2,1406.6,1406.8,64195
2025-08-18 14:35:00+05:30,1406.8,1406.9,1404.7,1405.4,82289
2025-08-18 14:40:00+05:30,1405.3,1406.5,1404.6,1406.0,72094
2025-08-18 14:45:00+05:30,1406.0,1406.7,1404.7,1406.6,88127
2025-08-18 14:50:00+05:30,1406.6,1407.1,1404.7,1405.3,135637
2025-08-18 14:55:00+05:30,1405.2,1406.6,1404.9,1405.9,236987
2025-08-18 15:00:00+05:30,1405.9,1407.0,1404.5,1404.7,309059
2025-08-18 15:05:00+05:30,1404.6,1405.8,1404.3,1405.3,324097
2025-08-18 15:10:00+05:30,1405.3,1406.6,1404.7,1404.8,301685
2025-08-18 15:15:00+05:30,1404.9,1406.8,1404.6,1406.2,386630
2025-08-18 15:20:00+05:30,1406.1,1406.2,1404.6,1404.7,377234
2025-08-18 15:25:00+05:30,1404.7,1406.5,1404.1,1405.6,249239
2025-08-19 09:15:00+05:30,1402.4,1411.3,1402.4,1410.1,224016
2025-08-19 09:20:00+05:30,1409.8,1412.3,1408.1,1412.3,66664
2025-08-19 09:25:00+05:30,1411.5,1412.2,1409.8,1411.5,50482
2025-08-19 09:30:00+05:30,1411.8,1411.9,1410.1,1411.0,33808
2025-08-19 09:35:00+05:30,1410.9,1411.1,1409.5,1410.9,35243
2025-08-19 09:40:00+05:30,1411.0,1411.4,1408.4,1409.0,37653
2025-08-19 09:45:00+05:30,1409.4,1409.7,1408.5,1409.7,24613
2025-08-19 09:50:00+05:30,1409.7,1413.0,1409.7,1411.0,52858
2025-08-19 09:55:00+05:30,1411.0,1412.9,1411.0,1412.8,50223
2025-08-19 10:00:00+05:30,1412.9,1414.3,1412.5,1413.2,52229
2025-08-19 10:05:00+05:30,1413.2,1413.3,1411.2,1412.3,29428
2025-08-19 10:10:00+05:30,1412.3,1412.9,1411.4,1412.2,28310
2025-08-19 10:15:00+05:30,1412.2,1413.0,1411.1,1412.9,28811
2025-08-19 10:20:00+05:30,1412.9,1413.2,1411.7,1411.8,27714
2025-08-19 10:25:00+05:30,1411.8,1411.9,1409.6,1410.0,27803
2025-08-19 10:30:00+05:30,1410.0,1410.0,1409.6,1409.8,19369
2025-08-19 10:35:00+05:30,1409.8,1409.9,1408.5,1409.2,31561
2025-08-19 10:40:00+05:30,1409.2,1410.0,1409.0,1409.3,14976
2025-08-19 10:45:00+05:30,1409.3,1411.5,1408.6,1410.4,98812
2025-08-19 10:50:00+05:30,1410.4,1410.5,1409.3,1409.3,18801
2025-08-19 10:55:00+05:30,1409.4,1410.3,1408.6,1410.0,17294
2025-08-19 11:00:00+05:30,1410.0,1411.7,1409.9,1410.7,26271
2025-08-19 11:05:00+05:30,1410.7,1412.9,1410.5,1412.7,34423
2025-08-19 11:10:00+05:30,1412.7,1413.3,1411.8,1412.5,37750
2025-08-19 11:15:00+05:30,1412.6,1412.6,1411.1,1411.7,16254
2025-08-19 11:20:00+05:30,1411.7,1413.0,1411.5,1412.5,18004
2025-08-19 11:25:00+05:30,1412.5,1413.0,1411.6,1412.0,33803
