trade_date,direction,signal_candle_time,signal_candle_open,signal_candle_high,signal_candle_low,signal_candle_close,signal_candle_vwap,entry_candle_time,entry_candle_open,entry_candle_high,entry_candle_low,entry_candle_close,entry_time,entry_price,stop_loss,initial_risk,target,target_r,mfe,mae,mfe_r,mae_r,exit_candle_time,exit_candle_open,exit_candle_high,exit_candle_low,exit_candle_close,exit_time,exit_price,exit_reason,same_candle_ambiguous,gross_pnl,costs,net_pnl
2026-07-01,SELL,2026-07-01 09:35:00+05:30,1005.2,1005.6,1002.6,1003.8,1008.8764614066155,2026-07-01 09:40:00+05:30,1003.6,1004.2,1001.2,1002.4,2026-07-01 09:40:00+05:30,1003.0982,1005.6,2.501800000000003,998.0946,2.0,1.8981999999999744,3.7017999999999347,0.758733711727545,1.479654648652942,2026-07-01 09:45:00+05:30,1002.3,1006.8,1002.2,1005.6,2026-07-01 09:45:00+05:30,1006.1028,STOP_LOSS,False,-3.004599999999982,2.009201,-5.013800999999982
2026-07-01,SELL,2026-07-01 09:50:00+05:30,1005.7,1005.7,1002.1,1003.0,1007.655711794229,2026-07-01 09:55:00+05:30,1003.0,1003.0,1001.0,1001.2,2026-07-01 09:55:00+05:30,1002.4985,1005.7,3.20150000000001,996.0955,2.0,8.398500000000013,0.5014999999999645,2.6233015773855963,0.1566453225050642,2026-07-01 12:10:00+05:30,998.3,998.5,994.1,995.4,2026-07-01 12:10:00+05:30,996.59354775,TARGET,False,5.904952250000065,1.9990920477499998,3.9058602022500652
2026-07-02,BUY,2026-07-02 09:35:00+05:30,1027.7,1032.3,1027.7,1030.9,1023.2270212568361,2026-07-02 09:40:00+05:30,1031.2,1034.5,1030.2,1034.3,2026-07-02 09:40:00+05:30,1031.7156,1027.7,4.015599999999949,1039.7468,2.0,8.884399999999914,3.0155999999999494,2.212471361689418,0.7509712122721355,2026-07-02 11:20:00+05:30,1038.2,1040.6,1037.7,1038.6,2026-07-02 11:20:00+05:30,1039.2269265999998,TARGET,False,7.5113265999998475,2.0709425265999997,5.440384073399848
2026-07-03,SELL,2026-07-03 09:30:00+05:30,1053.6,1054.2,1050.5,1051.5,1057.6590198862611,2026-07-03 09:35:00+05:30,1051.8,1052.8,1049.0,1050.4,2026-07-03 09:35:00+05:30,1051.2740999999999,1054.2,2.9259000000001834,1045.4222999999995,2.0,6.274099999999862,1.5259000000000924,2.1443316586347683,0.5215147475990283,2026-07-03 09:40:00+05:30,1050.2,1050.5,1045.0,1045.3,2026-07-03 09:40:00+05:30,1045.9450111499996,TARGET,False,5.329088850000289,2.09721911115,3.2318697388502895
2026-07-03,SELL,2026-07-03 11:55:00+05:30,1053.6,1053.6,1050.0,1050.5,1052.0054903658781,2026-07-03 12:00:00+05:30,1050.5,1050.7,1049.3,1049.9,2026-07-03 12:00:00+05:30,1049.97475,1053.6,3.6252499999998236,1042.7242500000004,2.0,0.674750000000131,4.825249999999869,0.18612509482109202,1.331011654368693,2026-07-03 12:15:00+05:30,1052.5,1054.8,1052.5,1054.7,2026-07-03 12:15:00+05:30,1054.1268,STOP_LOSS,False,-4.152049999999917,2.10410155,-6.256151549999918
2026-07-03,SELL,2026-07-03 12:40:00+05:30,1053.3,1053.5,1050.6,1051.7,1052.3942736651352,2026-07-03 12:45:00+05:30,1051.7,1052.8,1050.9,1051.7,2026-07-03 12:45:00+05:30,1051.17415,1053.5,2.325849999999946,1046.5224500000002,2.0,5.474150000000009,1.6258499999999003,2.35361265773809,0.6990347614850219,2026-07-03 13:20:00+05:30,1050.8,1050.8,1045.7,1047.5,2026-07-03 13:20:00+05:30,1047.045711225,TARGET,False,4.12843877499995,2.0982198612250005,2.030218913774949
2026-07-06,SELL,2026-07-06 09:50:00+05:30,1041.6,1043.2,1040.7,1041.1,1044.6113945822246,2026-07-06 09:55:00+05:30,1041.1,1041.1,1037.5,1038.3,2026-07-06 09:55:00+05:30,1040.57945,1043.2,2.620550000000094,1035.3383499999998,2.0,5.979450000000043,0.5205499999999574,2.2817538303027334,0.19864150655394433,2026-07-06 10:05:00+05:30,1035.9,1036.7,1034.6,1035.8,2026-07-06 10:05:00+05:30,1035.8560191749998,TARGET,False,4.72343082500015,2.0764354691749998,2.6469953558251507
2026-07-07,BUY,2026-07-07 09:40:00+05:30,1065.0,1070.0,1063.2,1069.2,1061.656811112668,2026-07-07 09:45:00+05:30,1068.7,1074.8,1068.1,1070.7,2026-07-07 09:45:00+05:30,1069.23435,1063.2,6.034349999999904,1081.3030499999998,2.0,13.36564999999996,3.434349999999995,2.2149278712703393,0.569133378077183,2026-07-07 10:20:00+05:30,1075.2,1082.6,1075.2,1078.8,2026-07-07 10:20:00+05:30,1080.7623984749998,TARGET,False,11.528048474999878,2.1499967484749996,9.378051726524879
2026-07-07,BUY,2026-07-07 10:55:00+05:30,1069.7,1071.4,1069.6,1071.1,1070.6057444018043,2026-07-07 11:00:00+05:30,1071.2,1076.8,1071.2,1073.5,2026-07-07 11:00:00+05:30,1071.7356,1069.6,2.1356000000000677,1076.0068,2.0,5.064399999999978,0.5355999999999312,2.3714178685146177,0.2507960292189147,2026-07-07 11:00:00+05:30,1071.2,1076.8,1071.2,1073.5,2026-07-07 11:00:00+05:30,1075.4687966000001,TARGET,False,3.7331966000001557,2.1472043966000003,1.5859922034001555
2026-07-07,BUY,2026-07-07 14:45:00+05:30,1074.2,1075.8,1073.7,1075.6,1075.1866528391815,2026-07-07 14:50:00+05:30,1075.2,1075.8,1074.3,1074.9,2026-07-07 14:50:00+05:30,1075.7376000000002,1073.7,2.0376000000001113,1079.8128000000004,2.0,0.06239999999979773,2.237600000000157,0.030624263839710602,1.0981546917942848,2026-07-07 14:55:00+05:30,1074.9,1075.6,1073.5,1074.2,2026-07-07 14:55:00+05:30,1073.16315,STOP_LOSS,False,-2.57445000000007,2.14890075,-4.72335075000007
