trade_index,trade_id,trade_date,direction,entry_time,entry_price,stop_loss,risk,target,exit_time,exit_reason,mfe_r,mae_r,reached_0.25r,reached_0.25r_time,reached_0.50r,reached_0.50r_time,reached_0.75r,reached_0.75r_time,reached_1.00r,reached_1.00r_time,reached_1.25r,reached_1.25r_time,reached_1.50r,reached_1.50r_time,reached_1.75r,reached_1.75r_time,reached_2.00r,reached_2.00r_time,reached_2.50r,reached_2.50r_time,reached_3.00r,reached_3.00r_time
11,2026-07-23|BUY|2026-07-23 11:50:00+05:30|1048.62405,2026-07-23,BUY,2026-07-23 11:50:00+05:30,1048.62405,1046.1,2.5240499999999884,1053.67215,2026-07-23 12:00:00+05:30,TARGET,2.4864602523722676,0.524573601949228,True,2026-07-23 11:50:00+05:30,True,2026-07-23 11:50:00+05:30,True,2026-07-23 11:50:00+05:30,True,2026-07-23 11:50:00+05:30,True,2026-07-23 11:55:00+05:30,True,2026-07-23 11:55:00+05:30,True,2026-07-23 12:00:00+05:30,True,2026-07-23 12:00:00+05:30,False,,False,
12,2026-07-24|SELL|2026-07-24 10:55:00+05:30|1020.4895,2026-07-24,SELL,2026-07-24 10:55:00+05:30,1020.4895,1024.5,4.010499999999979,1012.4685,2026-07-24 12:20:00+05:30,STOP_LOSS,1.6430619623488538,1.3490836554045875,True,2026-07-24 11:05:00+05:30,True,2026-07-24 11:05:00+05:30,True,2026-07-24 11:25:00+05:30,True,2026-07-24 11:25:00+05:30,True,2026-07-24 11:30:00+05:30,True,2026-07-24 11:30:00+05:30,False,,False,,False,,False,
13,2026-07-27|BUY|2026-07-27 09:55:00+05:30|1073.23635,2026-07-27,BUY,2026-07-27 09:55:00+05:30,1073.23635,1072.0,1.2363500000001295,1075.7090500000004,2026-07-27 09:55:00+05:30,STOP_LOSS,1.6691470861809652,2.375015165608153,True,2026-07-27 09:55:00+05:30,True,2026-07-27 09:55:00+05:30,True,2026-07-27 09:55:00+05:30,True,2026-07-27 09:55:00+05:30,True,2026-07-27 09:55:00+05:30,True,2026-07-27 09:55:00+05:30,False,,False,,False,,False,
14,2026-07-28|BUY|2026-07-28 09:55:00+05:30|1115.25735,2026-07-28,BUY,2026-07-28 09:55:00+05:30,1115.25735,1110.8,4.457350000000133,1124.1720500000004,2026-07-28 10:05:00+05:30,STOP_LOSS,0.0,1.0448697095808137,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
15,2026-07-29|BUY|2026-07-29 10:40:00+05:30|1153.1763,2026-07-29,BUY,2026-07-29 10:40:00+05:30,1153.1763,1151.6,1.5762999999999463,1156.3288999999995,2026-07-29 10:40:00+05:30,STOP_LOSS,0.0,1.9515955084693768,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
16,2026-08-04|SELL|2026-08-04 11:50:00+05:30|1158.32055,2026-08-04,SELL,2026-08-04 11:50:00+05:30,1158.32055,1161.0,2.6794499999998607,1152.9616500000004,2026-08-04 15:10:00+05:30,END_OF_DAY,1.8737240851668135,0.9626789079849645,True,2026-08-04 11:55:00+05:30,True,2026-08-04 12:00:00+05:30,True,2026-08-04 12:00:00+05:30,True,2026-08-04 12:05:00+05:30,True,2026-08-04 12:05:00+05:30,True,2026-08-04 12:05:00+05:30,True,2026-08-04 12:05:00+05:30,False,,False,,False,
17,2026-08-05|SELL|2026-08-05 13:45:00+05:30|1164.51745,2026-08-05,SELL,2026-08-05 13:45:00+05:30,1164.5174499999998,1166.7,2.18255000000022,1160.1523499999994,2026-08-05 14:35:00+05:30,STOP_LOSS,0.2370850610523351,1.045817965224118,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
18,2026-08-06|SELL|2026-08-06 10:30:00+05:30|1167.91575,2026-08-06,SELL,2026-08-06 10:30:00+05:30,1167.91575,1171.0,3.084250000000111,1161.7472499999997,2026-08-06 10:30:00+05:30,STOP_LOSS,0.0,1.0972683796708904,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
19,2026-08-07|BUY|2026-08-07 13:45:00+05:30|1179.9897,2026-08-07,BUY,2026-08-07 13:45:00+05:30,1179.9897,1177.8,2.18970000000013,1184.3691000000003,2026-08-07 13:45:00+05:30,STOP_LOSS,0.0,1.0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
20,2026-08-10|BUY|2026-08-10 13:35:00+05:30|1185.89265,2026-08-10,BUY,2026-08-10 13:35:00+05:30,1185.89265,1184.6,1.2926500000000942,1188.4779500000002,2026-08-10 13:35:00+05:30,STOP_LOSS,0.0056859938885909875,1.0773604610682719,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
