event_number,direction,break_time,break_close,orb_high,orb_low,orb_range,broken_level,break_vwap,move_away,favorable_extreme,favorable_extreme_time,max_excursion,max_excursion_orb_r,retest,retest_time,retest_high,retest_low,retest_close,retest_vwap,rejection,rejection_time,rejection_close,continuation,continuation_time,continuation_close,status,trade_date
1,SELL,2026-07-01 09:35:00+05:30,1003.8,1014.0,1004.8,9.200000000000045,1004.8,1008.8764614066155,True,1001.2,2026-07-01 09:40:00+05:30,3.599999999999909,0.39130434782607515,True,2026-07-01 09:45:00+05:30,1006.8,1002.2,1005.6,1007.9429041329706,True,2026-07-01 09:50:00+05:30,1003.0,True,2026-07-01 09:55:00+05:30,1001.2,COMPLETE,2026-07-01
1,BUY,2026-07-02 09:35:00+05:30,1030.9,1029.8,1006.0,23.799999999999955,1029.8,1023.2270212568361,True,1034.9,2026-07-02 09:45:00+05:30,5.100000000000136,0.21428571428572044,True,2026-07-02 09:50:00+05:30,1031.9,1028.7,1030.5,1024.7187616692395,True,2026-07-02 09:55:00+05:30,1034.4,True,2026-07-02 10:15:00+05:30,1035.7,COMPLETE,2026-07-02
1,SELL,2026-07-03 09:30:00+05:30,1051.5,1068.7,1052.2,16.5,1052.2,1057.6590198862611,True,1049.0,2026-07-03 09:35:00+05:30,3.2000000000000455,0.1939393939393967,True,2026-07-03 09:35:00+05:30,1052.8,1049.0,1050.4,1057.0613355327303,True,2026-07-03 09:40:00+05:30,1045.3,True,2026-07-03 09:45:00+05:30,1043.1,COMPLETE,2026-07-03
1,SELL,2026-07-06 09:50:00+05:30,1041.1,1053.0,1041.2,11.799999999999955,1041.2,1044.6113945822246,True,1033.0,2026-07-06 11:10:00+05:30,8.200000000000045,0.6949152542372947,True,2026-07-06 15:05:00+05:30,1042.7,1040.3,1042.1,1038.6029002677153,False,,,False,,,RETEST_NO_REJECTION,2026-07-06
1,BUY,2026-07-07 09:40:00+05:30,1069.2,1067.5,1040.6,26.90000000000009,1067.5,1061.656811112668,True,1074.8,2026-07-07 09:45:00+05:30,7.2999999999999545,0.27137546468401225,True,2026-07-07 09:55:00+05:30,1069.5,1065.8,1069.5,1064.6992233032624,True,2026-07-07 10:00:00+05:30,1070.5,True,2026-07-07 10:05:00+05:30,1074.5,COMPLETE,2026-07-07
1,SELL,2026-07-10 09:30:00+05:30,1066.2,1091.3,1069.2,22.09999999999991,1069.2,1078.624983660407,True,1064.7,2026-07-10 09:35:00+05:30,4.5,0.20361990950226327,True,2026-07-10 09:35:00+05:30,1069.3,1064.7,1068.1,1077.1641103086727,True,2026-07-10 09:40:00+05:30,1068.8,True,2026-07-10 10:05:00+05:30,1067.6,COMPLETE,2026-07-10
1,BUY,2026-07-13 10:40:00+05:30,1075.4,1073.4,1057.1,16.300000000000182,1073.4,1068.240235557996,True,1114.9,2026-07-13 13:05:00+05:30,41.5,2.546012269938622,False,,,,,,False,,,False,,,MOVE_NO_RETEST,2026-07-13
1,SELL,2026-07-14 09:30:00+05:30,1101.8,1113.5,1102.6,10.900000000000091,1102.6,1106.198158030251,True,1098.0,2026-07-14 09:35:00+05:30,4.599999999999909,0.42201834862384136,True,2026-07-14 09:35:00+05:30,1102.6,1098.0,1101.5,1105.3638469511563,True,2026-07-14 09:40:00+05:30,1098.7,True,2026-07-14 09:50:00+05:30,1098.3,COMPLETE,2026-07-14
1,SELL,2026-07-16 15:20:00+05:30,1080.7,1097.3,1081.0,16.299999999999955,1081.0,1088.482382816641,True,1077.9,2026-07-16 15:25:00+05:30,3.099999999999909,0.19018404907974956,True,2026-07-16 15:25:00+05:30,1085.6,1077.9,1085.0,1088.1312199106158,False,,,False,,,RETEST_NO_REJECTION,2026-07-16
1,SELL,2026-07-17 09:30:00+05:30,1101.5,1116.8,1104.0,12.799999999999955,1104.0,1109.167311309693,True,1101.3,2026-07-17 09:35:00+05:30,2.7000000000000455,0.2109375000000043,True,2026-07-17 09:35:00+05:30,1109.3,1101.3,1104.3,1108.733443088528,True,2026-07-17 09:40:00+05:30,1103.6,True,2026-07-17 09:45:00+05:30,1098.1,COMPLETE,2026-07-17
