trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,original_stop_loss,original_target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,pullback_detected,pullback_time,pullback_price,max_favorable_before_pullback_r,target_after_pullback,target_after_pullback_time,stop_before_pullback,stop_after_pullback,target_before_pullback,valid_pullback_target,valid_pullback_target_without_prior_stop
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.25,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1001.82545,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.5,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1002.4509,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.75,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1003.07635,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,1.0,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1003.7018,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.25,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1001.82545,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.5,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1002.4509,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.75,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1003.07635,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,1.0,True,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1003.7018,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,True,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,1.0,0.25,True,2026-07-01 10:00:00+05:30,True,2026-07-01 10:05:00+05:30,999.62545,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,False,False,True,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,1.0,0.5,True,2026-07-01 10:00:00+05:30,True,2026-07-01 10:05:00+05:30,1000.2509,2.3176113198497315,True,2026-07-01 10:20:00+05:30,True,False,False,True,False
