trade_index,trade_date,direction,signal_time,original_entry_time,original_entry_price,original_risk,initial_move_r,pullback_r,initial_move_reached,initial_move_time,favorable_extreme,favorable_extreme_time,pullback_reached,pullback_time,pullback_level,pullback_extreme,confirmation,confirmation_time,entry_time,entry_price,structural_stop,new_risk,target,exit_time,exit_price,exit_reason,ambiguous_exit,mfe_r,mae_r,net_pnl
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.5,0.25,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,997.22545,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.5,0.5,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,997.8509,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.5,0.75,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,998.47635,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.75,0.25,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,997.22545,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.75,0.5,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,997.8509,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,0.75,0.75,True,2026-07-01 09:40:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 09:45:00+05:30,998.47635,1006.8,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1006.8,8.799249999999915,980.4022500000002,2026-07-01 15:25:00+05:30,986.4929999999999,END_OF_DAY,False,1.7729636048527104,0.11356081484217069,9.5232562500001
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1.0,0.25,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:10:00+05:30,997.22545,1000.4,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1000.4,2.399249999999938,993.2022500000002,2026-07-01 12:25:00+05:30,993.6988511250001,TARGET,False,2.667812858184925,0.41648431801604113,2.3101992738748924
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1.0,0.5,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:10:00+05:30,997.8509,1000.4,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1000.4,2.399249999999938,993.2022500000002,2026-07-01 12:25:00+05:30,993.6988511250001,TARGET,False,2.667812858184925,0.41648431801604113,2.3101992738748924
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1.0,0.75,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:15:00+05:30,998.47635,1002.0,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1002.0,3.999249999999961,990.0022500000001,2026-07-01 13:20:00+05:30,990.497251125,TARGET,False,2.3256235544164743,0.24985934862786038,5.515000873874991
2,2026-07-01,SELL,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,1002.4985,3.20150000000001,0.5,0.25,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:10:00+05:30,997.400375,1000.4,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1000.4,2.399249999999938,993.2022500000002,2026-07-01 12:25:00+05:30,993.6988511250001,TARGET,False,2.667812858184925,0.41648431801604113,2.3101992738748924
2,2026-07-01,SELL,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,1002.4985,3.20150000000001,0.5,0.5,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:15:00+05:30,998.20075,1002.0,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1002.0,3.999249999999961,990.0022500000001,2026-07-01 13:20:00+05:30,990.497251125,TARGET,False,2.3256235544164743,0.24985934862786038,5.515000873874991
2,2026-07-01,SELL,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,1002.4985,3.20150000000001,0.5,0.75,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:15:00+05:30,999.001125,1002.0,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1002.0,3.999249999999961,990.0022500000001,2026-07-01 13:20:00+05:30,990.497251125,TARGET,False,2.3256235544164743,0.24985934862786038,5.515000873874991
2,2026-07-01,SELL,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,1002.4985,3.20150000000001,0.75,0.25,True,2026-07-01 10:00:00+05:30,996.6,2026-07-01 10:30:00+05:30,True,2026-07-01 10:10:00+05:30,997.400375,1000.4,True,2026-07-01 11:15:00+05:30,2026-07-01 11:20:00+05:30,998.00075,1000.4,2.399249999999938,993.2022500000002,2026-07-01 12:25:00+05:30,993.6988511250001,TARGET,False,2.667812858184925,0.41648431801604113,2.3101992738748924
