trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,stop_loss,target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,initial_extreme_price,initial_extreme_r,pullback_detected,pullback_time,pullback_price,pullback_depth_r,target_after_pullback,target_after_pullback_time,target_before_pullback,stop_before_pullback,stop_after_pullback,valid_pullback_target,clean_pullback_target
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.25,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1001.82545,0.25,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.5,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1002.4509,0.5,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,0.75,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1003.07635,0.75,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.5,1.0,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1003.7018,1.0,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.25,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1001.82545,0.25,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.5,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1002.4509,0.5,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,0.75,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1003.07635,0.75,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,0.75,1.0,True,2026-07-01 09:40:00+05:30,1001.2,0.758733711727545,True,2026-07-01 09:45:00+05:30,1003.7018,1.0,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,1.0,0.25,False,,,,False,,,,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,1.0,0.5,False,,,,False,,,,False,,False,False,False,False,False
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,2026-07-01 09:40:00+05:30,1003.0982,2.501800000000003,1005.6,998.0946,2026-07-01 09:45:00+05:30,STOP_LOSS,1.0,0.75,False,,,,False,,,,False,,False,False,False,False,False
