variant,entry_hour,trades,total_net_r,avg_net_r
ORB_BOUNDARY,11:15,16,-3.047385120567049,-0.19046157003544056
ORB_BOUNDARY,11:20,25,1.8171274538951034,0.07268509815580414
ORB_BOUNDARY,11:25,16,-3.6447487567432413,-0.22779679729645258
ORB_BOUNDARY,11:30,18,-9.753403968955158,-0.5418557760530643
ORB_BOUNDARY,11:35,14,4.326796742714085,0.3090569101938632
ORB_BOUNDARY,11:40,14,-2.7290120369595945,-0.1949294312113996
ORB_BOUNDARY,11:45,16,-3.296989711313924,-0.20606185695712026
ORB_BOUNDARY,11:50,17,-2.8993554204437224,-0.17055031884963073
ORB_BOUNDARY,11:55,14,-0.3458177480246441,-0.024701267716046006
ORB_BOUNDARY,12:00,13,1.375007111413994,0.10576977780107645
ORB_BOUNDARY,12:05,18,-0.2594203930415242,-0.014412244057862456
ORB_BOUNDARY,12:10,9,0.27178039905095874,0.030197822116773194
ORB_BOUNDARY,12:15,10,-1.2551987531356295,-0.12551987531356296
ORB_BOUNDARY,12:20,7,-1.2307408864170557,-0.17582012663100796
ORB_BOUNDARY,12:25,10,-1.0770970767632928,-0.10770970767632929
ORB_BOUNDARY,12:30,10,1.6606104098207735,0.16606104098207736
ORB_BOUNDARY,12:35,12,-1.2922586319646407,-0.10768821933038673
ORB_BOUNDARY,12:40,13,-1.893470574747186,-0.14565158267286046
ORB_BOUNDARY,12:45,9,-0.18669163454731652,-0.020743514949701836
ORB_BOUNDARY,12:50,15,-3.046905186142051,-0.20312701240947006
ORB_BOUNDARY,12:55,3,-0.4942515489455394,-0.1647505163151798
ORB_BOUNDARY,13:00,11,1.5939460669926533,0.14490418790842302
ORB_BOUNDARY,13:05,11,0.8890663389786677,0.08082421263442434
ORB_BOUNDARY,13:10,3,-1.6692006065674716,-0.5564002021891572
ORB_BOUNDARY,13:15,11,-3.2219302521046873,-0.2929027501913352
ORB_BOUNDARY,13:20,6,-2.3452902015447905,-0.3908817002574651
ORB_BOUNDARY,13:25,12,1.6185756088020322,0.13488130073350268
ORB_BOUNDARY,13:30,9,-0.8087616642953348,-0.08986240714392608
ORB_BOUNDARY,13:35,6,-1.625379171525641,-0.2708965285876068
ORB_BOUNDARY,13:40,4,-1.2891428879953868,-0.3222857219988467
ORB_BOUNDARY,13:45,5,0.4423077168943159,0.08846154337886318
ORB_BOUNDARY,13:50,7,-4.298883576230413,-0.6141262251757732
ORB_BOUNDARY,13:55,6,-0.356629450639465,-0.059438241773244166
ORB_BOUNDARY,14:00,9,-2.342377937030951,-0.26026421522566123
ORB_BOUNDARY,14:05,7,-1.2253019328522976,-0.17504313326461393
ORB_BOUNDARY,14:10,14,-1.9971967692300716,-0.14265691208786227
ORB_BOUNDARY,14:15,10,0.14014365596416944,0.014014365596416944
ORB_BOUNDARY,14:20,14,-1.2601856626049663,-0.09001326161464045
ORB_BOUNDARY,14:25,13,-3.0798794716337343,-0.23691380551028726
ORB_BOUNDARY,14:30,7,-1.4743714135682944,-0.2106244876526135
ORB_BOUNDARY,14:35,8,-1.360838360841918,-0.17010479510523974
ORB_BOUNDARY,14:40,9,-1.0328403275581346,-0.11476003639534829
ORB_BOUNDARY,14:45,12,-2.939345653265421,-0.24494547110545176
ORB_BOUNDARY,14:50,10,-3.2346969323736037,-0.32346969323736036
ORB_BOUNDARY,14:55,9,-1.8673627332491323,-0.20748474813879247
ORB_BOUNDARY,15:00,11,-3.7081670802730153,-0.3371060982066378
ORB_BOUNDARY,15:05,13,-3.3390563822077075,-0.25685049093905443
ORB_BOUNDARY,15:10,20,-4.706987717072168,-0.23534938585360837
ORB_BOUNDARY,15:15,8,-2.344103825011532,-0.2930129781264415
ORB_BOUNDARY,15:20,7,-1.3082891997155908,-0.18689845710222724
ORB_BOUNDARY,15:25,15,-3.0366502817149144,-0.20244335211432762
