variant,threshold_pct,trades,stop_loss,target,end_of_day,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor,retention_pct,avg_gap_pct
EMA_GAP_0P25PCT,0.25,525,237,118,170,22.476190476190478,-337.0157988650013,-0.6419348549809548,-91.2016014448557,-0.17371733608543943,0.6827428313090328,28.044871794871796,0.5156851179404076
EMA_GAP_0P3PCT,0.3,421,188,97,136,23.040380047505938,-180.4489529800012,-0.4286198408076038,-51.578140928276675,-0.12251339887951704,0.7794984754767762,22.48931623931624,0.5747489485587434
EMA_GAP_0P35PCT,0.35,320,138,74,108,23.125,-62.28878625500051,-0.1946524570468766,-28.246140867587968,-0.0882691902112124,0.8948273167767804,17.094017094017094,0.6536237819042834
EMA_GAP_0P4PCT,0.4,264,114,63,87,23.863636363636363,12.19576054999977,0.046196062689393066,-16.00324532189452,-0.060618353492024706,1.026442914117889,14.102564102564102,0.713115730863631
EMA_GAP_0P45PCT,0.45,218,88,55,75,25.229357798165136,72.80100771499987,0.33394957667431135,2.646668676714767,0.012140682003278747,1.211566980770337,11.645299145299145,0.7747658787358137
EMA_GAP_0P5PCT,0.5,183,68,51,64,27.86885245901639,107.78985934499961,0.5890156248360635,18.353207194426144,0.10029074969631772,1.412258050250765,9.775641025641026,0.8321851023181516
EMA_GAP_0P55PCT,0.55,160,58,45,57,28.125,86.55911247499988,0.5409944529687493,17.917170453623804,0.11198231533514877,1.3642957689266266,8.547008547008547,0.8758936839537264
EMA_GAP_0P6PCT,0.6,133,48,37,48,27.819548872180448,70.32580082999989,0.5287654197744353,14.662178001952515,0.11024193986430462,1.3460333254049939,7.104700854700854,0.9377251728982784
