GROUP,TRADES,AVG_MFE_R,MEDIAN_MFE_R,AVG_MAE_R,MEDIAN_MAE_R,TARGET_2R_RATE_PCT,STOP_1R_RATE_PCT,AVG_ENTRY_VWAP_DISTANCE,AVG_SIGNAL_VWAP_DISTANCE,AVG_ORB_RANGE
9,795,1.7953568264362885,1.2580573248407603,2.0369590134861593,1.400538461538456,33.081761006289305,62.893081761006286,2.866677833046331,2.887546221194895,6.848968553459126
10,472,1.574508420489001,1.103130009319686,1.750976425476052,1.3013893123306286,28.389830508474578,57.83898305084746,3.1157721384023604,2.993937400417114,6.418792372881361
11,196,1.5169646619203478,1.1076792568395177,1.3849371998892612,0.9269925527903526,27.55102040816326,48.46938775510204,2.9801012874418364,2.801388989676598,5.585459183673475
12,130,1.4385894172141265,0.8904239130435241,1.203341855355555,0.8237142857142657,26.153846153846157,40.0,3.64464870353371,3.420044793091541,6.046384615384621
13,91,1.2222709511507837,0.9110064102564154,1.0672974499793346,0.6448793103448213,15.384615384615385,37.362637362637365,3.3893713687935154,3.1745740878569215,5.9704395604395675
14,122,0.8799421690911494,0.6039507341772182,0.882276934245854,0.610657692307735,11.475409836065573,35.24590163934426,3.6648744873516135,3.4377796753158103,6.419836065573764
15,74,0.4423055042481082,0.23279669188547603,0.6854919827062591,0.5734757858963347,4.054054054054054,14.864864864864865,3.559223791504692,3.4049780546283785,6.81635135135136
