variant,trades,stop_loss,target,end_of_day,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor
ORB_50PCT,1879,964,399,516,21.23469930814263,-2667.2395542750032,-1.4194994966870693,-810.7626488366222,-0.4314862420631305,0.44343816833750543
ORB_BOUNDARY,1879,406,80,1393,4.25758382118148,-2827.972654665004,-1.50504132765567,-344.9234140376955,-0.18356754339419665,0.48269985823896544
