FILTER,SYMBOL,TRADES,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,WIN_RATE_PCT,AVG_MFE_R,AVG_MAE_R,STOP_LOSS,TARGET,END_OF_DAY
NO_FILTER,ASHOKLEY,255,-81.64161178001268,-0.3201631834510301,0.5996152719379433,37.64705882352941,1.5297525604648456,1.536861201653017,118,57,80
NO_FILTER,ICICIBANK,270,-1063.3669157301756,-3.9383959841858354,0.24919679658926008,26.296296296296294,1.4185982094192489,1.8225868828685277,152,46,72
NO_FILTER,INFY,236,-661.1253442494753,-2.8013785773282853,0.49957781938072787,35.16949152542373,1.3514219418532836,1.2785830623882308,106,51,79
NO_FILTER,OLAELEC,271,-13.843931466360033,-0.05108461795704809,0.8235274283171164,42.066420664206646,1.8448815622471157,1.7693585773326215,130,66,75
NO_FILTER,RELIANCE,295,-1184.0466598698013,-4.013717491084072,0.28894319627321674,25.76271186440678,1.4823044782156138,1.8647111540844548,176,58,61
NO_FILTER,SUZLON,283,-35.867424253057564,-0.12674001502847196,0.5249881488679626,32.86219081272085,1.60368455794675,1.6516474680631903,147,62,74
NO_FILTER,TMPV,269,-261.1822999038375,-0.9709379178581319,0.45152627490367897,31.970260223048324,1.5671394664024494,1.655258266981971,135,59,75
ENTRY_LE_12_15,ASHOKLEY,205,-71.704021873665,-0.3497757164569024,0.5974980251981328,37.5609756097561,1.6793634804422752,1.6807550388700114,107,52,46
ENTRY_LE_12_15,ICICIBANK,209,-844.0825733429255,-4.038672599726916,0.2552945639732499,27.751196172248804,1.5600528047999938,2.061484901568707,128,42,39
ENTRY_LE_12_15,INFY,205,-559.0321103437511,-2.726985904115859,0.5180192610211988,37.5609756097561,1.4302103922632816,1.339741601133162,99,47,59
ENTRY_LE_12_15,OLAELEC,215,-3.7691791088925433,-0.017531065622756015,0.9409491268586804,43.72093023255814,2.0394557797401256,1.9077484677239211,107,61,47
ENTRY_LE_12_15,RELIANCE,232,-989.5064629883998,-4.2651140646051715,0.28639234937455654,25.43103448275862,1.5580572003513218,2.075534651536713,150,45,37
ENTRY_LE_12_15,SUZLON,225,-32.09061052188003,-0.14262493565280013,0.5067076440156681,32.0,1.7845662140127176,1.877276656393195,133,55,37
ENTRY_LE_12_15,TMPV,222,-233.00604249206225,-1.0495767679822623,0.4445104225914338,31.53153153153153,1.6760994359191346,1.8206587054128889,125,52,45
ENTRY_LE_13_15,ASHOKLEY,227,-86.14314985207511,-0.3794852416390974,0.5560805825199053,36.56387665198238,1.5851113509912693,1.6558800252665358,114,53,60
ENTRY_LE_13_15,ICICIBANK,226,-882.3305902147506,-3.9041176558174806,0.26598960013224904,28.31858407079646,1.5700447457808595,1.9831553997910396,135,44,47
ENTRY_LE_13_15,INFY,211,-542.4837771549008,-2.571013161871568,0.5415477590245492,37.91469194312796,1.4505439347601097,1.3419124052935,101,50,60
ENTRY_LE_13_15,OLAELEC,229,-6.998621404927544,-0.030561665523701063,0.8975651342397772,43.23144104803494,1.9954003511076053,1.893067562228539,115,63,51
ENTRY_LE_13_15,RELIANCE,258,-1043.7800816301756,-4.045659231124712,0.3022451726560991,27.131782945736433,1.574757546905353,1.988739206457258,161,54,43
ENTRY_LE_13_15,SUZLON,237,-31.582872912172537,-0.13326106713996852,0.5302309683747715,32.91139240506329,1.7694950383557273,1.8446818859220546,138,59,40
ENTRY_LE_13_15,TMPV,240,-241.66142851012478,-1.0069226187921865,0.45239619396930647,32.083333333333336,1.6518836635549776,1.7776018941566756,130,56,54
ENTRY_LE_14_15,ASHOKLEY,240,-85.88707289112764,-0.35786280371303186,0.5728051103456973,36.666666666666664,1.5540047653163762,1.60219439157989,116,55,69
ENTRY_LE_14_15,ICICIBANK,242,-910.6514546814003,-3.7630225400057866,0.27637477640726127,28.92561983471074,1.537548120177555,1.9120849639491082,141,46,55
ENTRY_LE_14_15,INFY,221,-574.6647714921011,-2.6002930836746656,0.5345617612113752,37.55656108597285,1.4303614697547826,1.31391312031454,104,51,66
ENTRY_LE_14_15,OLAELEC,249,-8.678326718610041,-0.034852717745421855,0.8802537287217558,43.373493975903614,1.9533516028489848,1.8552047997203112,123,65,61
ENTRY_LE_14_15,RELIANCE,268,-1083.778315638076,-4.043948938948045,0.29658690977011654,26.492537313432834,1.5468760299816244,1.9527240920389697,166,55,47
ENTRY_LE_14_15,SUZLON,251,-33.098407300417534,-0.13186616454349614,0.5245699710943063,33.067729083665334,1.7296645709742307,1.7818872698535089,141,60,50
ENTRY_LE_14_15,TMPV,252,-244.88254111934992,-0.9717561155529759,0.4624160271953753,32.53968253968254,1.6356640058335012,1.72432869515119,133,58,61
