threshold_pct,symbol,trades,win_rate_pct,total_net_pnl,total_net_r,avg_net_r,profit_factor
0.25,ASHOKLEY,74,20.27027027027027,-4.231175405000297,-10.206393398042021,-0.13792423510867596,0.9315938989850827
0.25,ICICIBANK,41,9.75609756097561,-142.59771900000055,-23.279794577887852,-0.5677998677533622,0.32426630525752576
0.25,INFY,77,25.97402597402597,-59.27113325000103,-6.53549094204735,-0.08487650574087467,0.8471919567148004
0.25,OLAELEC,130,26.153846153846157,8.817846664999967,5.6247355640155385,0.043267196646273376,1.252767578137052
0.25,RELIANCE,36,16.666666666666664,-77.13033024999953,-13.099829397880306,-0.3638841499411196,0.5818458206792603
0.25,SUZLON,83,22.89156626506024,-4.458826724999969,-21.77125707990662,-0.26230430216754963,0.7991092804069581
0.25,TMPV,84,23.809523809523807,-58.14446089999987,-21.933571613107084,-0.26111394777508434,0.6365626546683297
0.3,ASHOKLEY,60,20.0,-3.3425713650001474,-10.15425697703408,-0.16923761628390135,0.9375894048396886
0.3,ICICIBANK,28,7.142857142857142,-82.02231655000014,-13.319114862784923,-0.4756826736708901,0.38919674617913136
0.3,INFY,66,22.727272727272727,-64.49387455000112,-9.72884926599683,-0.14740680706055803,0.8167209671121987
0.3,OLAELEC,112,26.785714285714285,12.206384809999953,11.29228325385548,0.10082395762370965,1.4233643083865892
0.3,RELIANCE,23,26.08695652173913,5.2999013000000605,-0.19184564014162797,-0.008341114788766434,1.0544240514655783
0.3,SUZLON,64,25.0,-2.4498603499999936,-14.27313017361759,-0.22301765896277484,0.8637222967463478
0.3,TMPV,68,23.52941176470588,-45.646616274999765,-15.203227262557107,-0.22357687150819275,0.660452737426775
0.35,ASHOKLEY,42,23.809523809523807,-0.55954783000016,-4.288247963457524,-0.1021011419870839,0.9855175216693787
0.35,ICICIBANK,16,12.5,-35.718051550000325,-4.1626511575758,-0.2601656973484875,0.5302237752037682
0.35,INFY,55,23.636363636363637,-16.921142600000273,-3.079567897761007,-0.05599214359565467,0.9380378536111358
0.35,OLAELEC,92,23.91304347826087,8.585810849999955,3.579811018950938,0.038910989336423236,1.338417149510534
0.35,RELIANCE,17,23.52941176470588,10.5594688000001,0.8442472136780941,0.04966160080459377,1.1522929113318894
0.35,SUZLON,50,24.0,-2.352736224999997,-11.29419566983143,-0.22588391339662858,0.8429403453655251
0.35,TMPV,48,22.916666666666664,-25.882587699999807,-9.845536411591247,-0.20511534190815098,0.7270026159228463
0.4,ASHOKLEY,42,23.809523809523807,-0.55954783000016,-4.288247963457524,-0.1021011419870839,0.9855175216693787
0.4,ICICIBANK,10,20.0,-13.980400650000327,-0.6200374757632069,-0.06200374757632069,0.701023414677897
0.4,INFY,46,23.91304347826087,14.776670949999978,1.2328377117350109,0.026800819820326324,1.0692973528019425
0.4,OLAELEC,76,22.36842105263158,5.749144824999955,-3.033697424995059,-0.03991707138151393,1.248247975216546
0.4,RELIANCE,15,26.666666666666668,17.615428100000223,1.8185008560881126,0.12123339040587418,1.2968260356233055
0.4,SUZLON,41,24.390243902439025,-2.814529169999993,-10.582069955509594,-0.25809926720755105,0.7816342078700992
0.4,TMPV,34,26.47058823529412,-8.591005674999906,-0.530531069992255,-0.015603854999772205,0.8721276667749771
0.45,ASHOKLEY,39,23.076923076923077,0.18993406999988505,-2.9543000476403836,-0.07575128327283034,1.0051897538122228
0.45,ICICIBANK,6,16.666666666666664,-19.936940750000304,-1.469794180392868,-0.24496569673214466,0.49050500209706566
0.45,INFY,38,28.947368421052634,60.69479270000034,7.09893576905463,0.18681409918564815,1.3805749727075745
0.45,OLAELEC,68,23.52941176470588,7.098268699999958,0.785373525771873,0.01154961067311578,1.344553355437571
0.45,RELIANCE,11,18.181818181818183,18.581099399999857,1.5892437598427567,0.1444767054402506,1.5062699643891024
0.45,SUZLON,29,31.03448275862069,-0.9505655049999879,-4.160295256252591,-0.14345845711215832,0.8912566471457654
0.45,TMPV,27,25.925925925925924,7.124419100000117,1.7575051063313478,0.06509278171597585,1.1662694890118759
0.5,ASHOKLEY,29,27.586206896551722,2.141912484999921,0.11127564417288816,0.0038370911783754537,1.0716761077187806
0.5,ICICIBANK,5,0.0,-31.7405968500003,-3.0978846769445925,-0.6195769353889184,0.18885873573514333
0.5,INFY,31,35.483870967741936,112.81542000000016,12.979358461567005,0.4186889826311937,2.096824623210158
0.5,OLAELEC,63,25.396825396825395,8.054389004999976,5.463359614168001,0.08671999387568256,1.4178500220537
0.5,RELIANCE,9,22.22222222222222,10.107395749999766,1.3597296988647747,0.15108107765164164,1.3152197545022875
0.5,SUZLON,25,32.0,-0.015902194999980968,-2.309511091017828,-0.09238044364071313,0.99773501903887
0.5,TMPV,21,28.57142857142857,6.427241150000088,3.846879543615894,0.18318474017218542,1.2058005861635304
0.55,ASHOKLEY,26,30.76923076923077,7.716925954999915,3.788240654201168,0.14570156362312184,1.3174618318522324
0.55,ICICIBANK,4,0.0,-33.42294450000033,-3.2085654433919615,-0.8021413608479904,0.14586579498475494
0.55,INFY,28,32.142857142857146,90.46176410000008,9.686234812328257,0.345936957583152,1.8794958200209564
0.55,OLAELEC,55,23.636363636363637,6.197932204999991,2.4157974685156316,0.04392359033664785,1.3444131142950284
0.55,RELIANCE,7,14.285714285714285,8.357515850000173,0.8460732662687274,0.12086760946696105,1.5052030495914561
0.55,SUZLON,20,40.0,1.0395917650000097,0.6251192275578016,0.03125596137789008,1.1875719042793487
0.55,TMPV,20,30.0,6.208327100000045,3.7642704681441805,0.18821352340720904,1.1987909472285667
0.6,ASHOKLEY,24,33.33333333333333,6.381084914999919,3.7362335024710234,0.15567639593629265,1.2781267124168012
0.6,ICICIBANK,3,0.0,-39.13078800000028,-3.9747189333248354,-1.3249063111082784,0.0
0.6,INFY,25,32.0,76.94508449999994,8.279352376612977,0.33117409506451906,1.8470203755362893
0.6,OLAELEC,50,22.0,6.199897275,0.7852694742839064,0.015705389485678126,1.3687380707837855
0.6,RELIANCE,5,20.0,4.071816200000253,0.390373055757373,0.0780746111514746,1.2666871074882327
0.6,SUZLON,15,40.0,1.1481417900000164,0.42066139135005076,0.02804409275667005,1.2541763713485041
0.6,TMPV,11,27.27272727272727,14.710564150000042,5.025007134802019,0.4568188304365472,2.0722634673495666
