entry_time_hhmm,direction,entries,symbols,median_ema_spread_atr,median_ema21_slope_abs_atr,median_ema_spread_change_abs_atr,median_close_ema21_distance_atr
09:20,BUY,195,7,0.19731979015847906,0.3086878074528724,0.4151721047469461,3.0868780745290723
09:20,SELL,147,7,0.17686293010959803,0.2725236503797926,0.37183741900069667,2.72523650379818
09:25,BUY,85,7,0.12441748934725008,0.1888575722157128,0.24592801159826985,1.8885757221580124
09:25,SELL,70,7,0.09338378316906511,0.14987667305772717,0.19756554809175653,1.4987667305774761
09:30,BUY,66,7,0.08005425713219733,0.13001214902977704,0.16731115057230256,1.300121490298007
09:30,SELL,51,7,0.07460601248396916,0.11453676058092498,0.15530534764203538,1.1453676058092013
09:35,BUY,32,7,0.04685528915958079,0.08684488728248428,0.12199034212895493,0.868448872824826
09:35,SELL,37,7,0.0673085294761865,0.10126224781842463,0.12841909504332408,1.0126224781840787
09:40,BUY,21,6,0.04686742437767699,0.08382058184293811,0.1027384051798412,0.8382058184294507
09:40,SELL,42,7,0.06403590908570256,0.09158313585023764,0.12262294373371772,0.9158313585025036
09:45,BUY,20,7,0.0472399863165965,0.06143550415970468,0.08642860859208415,0.6143550415970354
09:45,SELL,30,7,0.04522788954928829,0.08559482187603024,0.1140857836552813,0.8559482187600082
09:50,BUY,23,7,0.03941070978696241,0.0710249451376973,0.09723110066739014,0.710249451376973
09:50,SELL,35,7,0.03851520364244579,0.06259088542365444,0.08533623898138058,0.6259088542361432
09:55,BUY,27,7,0.04517926364942606,0.07904624380305043,0.11083620584748184,0.7904624380305043
09:55,SELL,20,7,0.04215007415087049,0.08735110807411992,0.11636002915738186,0.8735110807414213
10:00,BUY,16,7,0.022890375325419696,0.0542143303660052,0.07323174317707803,0.5421433036601914
10:00,SELL,24,7,0.0378155894450975,0.06167044389438077,0.08130801017883957,0.6167044389437211
10:05,BUY,20,7,0.05298675094199281,0.07470456076945056,0.0971530019212599,0.7470456076944155
10:05,SELL,31,7,0.03946245665307915,0.05385177492728101,0.06523622647844553,0.5385177492732948
10:10,BUY,20,7,0.03150775097470043,0.04646320838958638,0.06292381477302812,0.4646320838954584
10:10,SELL,27,6,0.04564020763661142,0.07927582210213743,0.10750368124403215,0.7927582210212757
10:15,BUY,17,7,0.029020146002845554,0.05948997054684049,0.07784460979470091,0.5948997054681806
10:15,SELL,31,7,0.034525189521550946,0.06608713296246842,0.09096350766980409,0.6608713296245001
10:20,BUY,35,7,0.02558890174352153,0.05732854448006223,0.07825337240596512,0.5732854448005694
10:20,SELL,25,7,0.02271277498417223,0.057917705536999896,0.07614292745002209,0.5791770553696498
10:25,BUY,23,7,0.0380085346197582,0.06619394904080156,0.08978878990632715,0.6619394904081014
10:25,SELL,20,6,0.022108830648160376,0.05604805676823034,0.07533201991777513,0.5604805676821243
10:30,BUY,23,7,0.03576225003260131,0.06913812190859989,0.09653658326262197,0.691381219086068
10:30,SELL,28,7,0.03141504689275667,0.06734643145476565,0.09134554744033266,0.6734643145473176
10:35,BUY,28,7,0.044071103817782176,0.09128859241630399,0.11456110676660117,0.9128859241631594
10:35,SELL,20,7,0.0712767592347156,0.08541244014805562,0.11178487446296317,0.8541244014804807
10:40,BUY,30,7,0.04062179012645422,0.07811725592846,0.1082181280609451,0.7811725592847013
10:40,SELL,28,7,0.037537923320974956,0.06579652636478339,0.08869449595168498,0.6579652636475358
10:45,BUY,30,7,0.05195158269355443,0.09289335100396798,0.1265548473151711,0.9289335100400842
10:45,SELL,35,7,0.04637674201104056,0.07832871923411602,0.1087653654492167,0.7832871923411603
10:50,BUY,25,7,0.051350439304770096,0.07162518681913779,0.09083611350841928,0.716251868191268
10:50,SELL,36,7,0.043351112119198246,0.07226193109175752,0.09776397540638186,0.7226193109176287
10:55,BUY,20,7,0.026719336513048152,0.07257878960566425,0.10445968007021916,0.7257878960567539
10:55,SELL,28,7,0.0335676939318193,0.07562474084441029,0.09536067502081208,0.7562474084438917
11:00,BUY,21,7,0.06452480777572303,0.11267210897196564,0.14133157996803267,1.1267210897197837
11:00,SELL,30,6,0.03999153883248513,0.07215507737558077,0.09168478873508466,0.7215507737559597
11:05,BUY,25,7,0.051900732167549916,0.10774270378538775,0.13517610218965084,1.07742703785407
11:05,SELL,35,7,0.05828197929461768,0.10672871091535788,0.13985814152423265,1.0672871091534746
11:10,BUY,20,7,0.05075532480052555,0.08621909026686843,0.1115578223107504,0.8621909026688187
11:10,SELL,29,7,0.05837983810124619,0.0813115727925099,0.10688440056911983,0.8131157279250991
11:15,BUY,26,7,0.04503741862818885,0.11179610439395316,0.15304869047220473,1.1179610439397343
11:15,SELL,17,6,0.04646992075820421,0.06526147565579782,0.0877547377182581,0.6526147565577709
11:20,BUY,24,7,0.032057381830622726,0.08448062017853533,0.11268138897915028,0.8448062017853972
11:20,SELL,23,7,0.038464259127965285,0.07297135082183243,0.10245605262269482,0.7297135082183241
11:25,BUY,27,7,0.04281310847480809,0.09682727558892643,0.12753843268476792,0.9682727558891476
11:25,SELL,31,7,0.03907123408284516,0.08317114352945716,0.11744978102108906,0.8317114352945716
11:30,BUY,34,7,0.06703147595392514,0.10788064708749873,0.140885099936083,1.078806470875286
11:30,SELL,27,7,0.04343673529960677,0.09265000998174877,0.11780413560432458,0.9265000998178712
11:35,BUY,33,7,0.06896857087748334,0.09671539518880883,0.13521286051473913,0.9671539518879669
11:35,SELL,33,7,0.041491187089058294,0.08475566907309581,0.1115804083957301,0.8475566907309581
11:40,BUY,33,7,0.060254001261175735,0.10157879477101765,0.12247282599589264,1.0157879477104679
11:40,SELL,27,7,0.03709383741514239,0.07420809329566268,0.10025945146660573,0.7420809329566268
11:45,BUY,27,7,0.03131161490462787,0.06436637500452547,0.08914511035902815,0.6436637500450312
11:45,SELL,48,7,0.054692100461574564,0.08440508314057799,0.11026952304490202,0.8440508314053412
11:50,BUY,28,7,0.05432258286171228,0.11334756786327335,0.1528139648208252,1.1334756786326778
