FILTER,TRADES,EXCLUDED,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,STOP_LOSS,TARGET,END_OF_DAY,AVG_MFE_R,AVG_MAE_R,AVG_ABS_VWAP_DISTANCE
NO_FILTER,1879,0,32.9430548163917,-3301.07418725272,-1.7568250065208728,0.3696266067594631,3293.3941899262472,964,399,516,1.5458701269520336,1.6647207768556316,3.103110246261501
Q1_CLOSEST,472,1407,34.32203389830508,-777.9321460719971,-1.6481613264237227,0.30988611364272767,780.258422501309,263,134,75,2.0190594074274686,2.0617502713805513,1.7524942093685811
Q1_Q2,942,937,32.696390658174096,-1682.7423587408166,-1.7863506993002298,0.305380696828083,1678.3692721831017,522,238,182,1.8147596282020717,1.9376214931962519,2.12265105735389
EXCLUDE_Q4_FARTHEST,1408,471,32.17329545454545,-2578.936230977948,-1.83163084586502,0.3222192161977073,2571.256233651474,775,328,305,1.6859296114764633,1.8130610331556438,2.483183099516672
