GROUP,TRADES,AVG_MFE_R,MEDIAN_MFE_R,AVG_MAE_R,MEDIAN_MAE_R,TARGET_2R_RATE_PCT,STOP_1R_RATE_PCT,AVG_ENTRY_VWAP_DISTANCE,AVG_SIGNAL_VWAP_DISTANCE,AVG_ORB_RANGE
ASHOKLEY,255,1.5297525604648443,0.9344406779660935,1.536861201653018,0.9661432098765406,26.27450980392157,49.01960784313725,1.0861223585993618,1.0990108035068262,2.3885098039215684
ICICIBANK,270,1.4185982094192466,0.9545786897590471,1.8225868828685303,1.262129489436621,23.703703703703706,57.407407407407405,5.256413062444161,4.931882756065569,10.621481481481506
INFY,236,1.3514219418532845,1.094549488817894,1.2785830623882304,0.9237516968325805,27.11864406779661,46.186440677966104,6.9997947977673975,6.948539213852605,15.583050847457633
OLAELEC,271,1.8448815622471118,1.234474576271187,1.7693585773326181,1.0368869565217391,31.73431734317343,51.66051660516605,0.4460047484517658,0.47652145484226954,0.9805904059040591
RELIANCE,295,1.4823044782156114,1.013543859649154,1.8647111540844528,1.2757881773399162,26.440677966101696,62.37288135593221,5.715460038194632,5.4651977613975795,11.306779661016959
SUZLON,283,1.6036845579467518,1.1323720930232515,1.6516474680631934,1.1498800000000244,29.328621908127207,53.71024734982333,0.33667259082651974,0.33908538416056894,0.6996819787985867
TMPV,270,1.56713946640245,1.0094347826087124,1.6552582669819698,1.2316491228069992,27.40740740740741,52.96296296296297,2.133840411505805,2.124579004660001,4.565185185185182
