symbol,entry_minute,entries,buys,sells
INFY,11:55,11,4,7
INFY,12:00,11,6,5
INFY,12:05,12,7,5
INFY,12:10,8,4,4
INFY,12:15,12,7,5
INFY,12:20,7,1,6
INFY,12:25,9,5,4
INFY,12:30,11,5,6
INFY,12:35,10,4,6
INFY,12:40,10,6,4
INFY,12:45,8,2,6
INFY,12:50,17,6,11
INFY,12:55,9,4,5
INFY,13:00,6,4,2
INFY,13:05,15,8,7
INFY,13:10,11,8,3
INFY,13:15,9,3,6
INFY,13:20,9,4,5
INFY,13:25,11,4,7
INFY,13:30,8,4,4
INFY,13:35,13,6,7
INFY,13:40,5,4,1
INFY,13:45,11,4,7
INFY,13:50,11,7,4
INFY,13:55,12,4,8
INFY,14:00,18,9,9
INFY,14:05,14,7,7
INFY,14:10,9,6,3
INFY,14:15,13,6,7
INFY,14:20,13,7,6
INFY,14:25,18,9,9
INFY,14:30,12,6,6
INFY,14:35,9,1,8
INFY,14:40,19,13,6
INFY,14:45,12,6,6
INFY,14:50,11,7,4
INFY,14:55,12,6,6
INFY,15:00,15,6,9
INFY,15:05,19,10,9
INFY,15:10,16,9,7
INFY,15:15,5,3,2
INFY,15:20,10,5,5
INFY,15:25,10,5,5
OLAELEC,09:20,32,16,16
OLAELEC,09:25,24,13,11
OLAELEC,09:30,25,15,10
OLAELEC,09:35,17,10,7
OLAELEC,09:40,8,0,8
OLAELEC,09:45,7,3,4
OLAELEC,09:50,8,6,2
OLAELEC,09:55,9,6,3
OLAELEC,10:00,11,1,10
OLAELEC,10:05,8,1,7
OLAELEC,10:10,13,5,8
OLAELEC,10:15,7,4,3
OLAELEC,10:20,5,3,2
OLAELEC,10:25,6,4,2
OLAELEC,10:30,5,3,2
OLAELEC,10:35,3,1,2
OLAELEC,10:40,2,1,1
OLAELEC,10:45,5,1,4
OLAELEC,10:50,14,4,10
OLAELEC,10:55,5,4,1
OLAELEC,11:00,8,2,6
OLAELEC,11:05,9,5,4
OLAELEC,11:10,7,2,5
OLAELEC,11:15,10,6,4
OLAELEC,11:20,5,4,1
OLAELEC,11:25,3,1,2
OLAELEC,11:30,5,3,2
OLAELEC,11:35,12,5,7
OLAELEC,11:40,10,5,5
OLAELEC,11:45,6,3,3
OLAELEC,11:50,12,6,6
OLAELEC,11:55,6,3,3
OLAELEC,12:00,6,3,3
OLAELEC,12:05,11,4,7
OLAELEC,12:10,12,6,6
OLAELEC,12:15,6,3,3
OLAELEC,12:20,7,5,2
OLAELEC,12:25,12,5,7
OLAELEC,12:30,8,2,6
OLAELEC,12:35,8,4,4
OLAELEC,12:40,15,10,5
