symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,net_pnl,net_r,variant
INFY,2025-08-18,SELL,2025-08-18 10:20:00,2025-08-18 10:25:00,10:25,1411.0941,1433.7,1413.6,20.100000000000136,1421.1441,10.049999999999955,1390.9941000000001,2025-08-18 15:25:00,1405.6,END_OF_DAY,False,2.677405900000117,0.26640854726369445,ORB_50PCT
INFY,2025-08-18,SELL,2025-08-18 10:20:00,2025-08-18 10:25:00,10:25,1411.0941,1433.7,1413.6,20.100000000000136,1433.7,22.60590000000002,1365.8823,2025-08-18 15:25:00,1405.6,END_OF_DAY,False,2.677405900000117,0.1184383678597231,ORB_BOUNDARY
INFY,2025-08-19,BUY,2025-08-19 09:55:00,2025-08-19 10:00:00,10:00,1413.60645,1412.3,1402.4,9.899999999999864,1408.65645,4.9500000000000455,1423.50645,2025-08-19 10:35:00,1408.65645,STOP_LOSS,False,-7.772262900000046,-1.570154121212116,ORB_50PCT
INFY,2025-08-19,BUY,2025-08-19 09:55:00,2025-08-19 10:00:00,10:00,1413.60645,1412.3,1402.4,9.899999999999864,1402.4,11.206449999999904,1436.0193499999998,2025-08-19 15:25:00,1411.9,END_OF_DAY,False,-4.531956449999904,-0.4044060741804892,ORB_BOUNDARY
INFY,2025-08-20,BUY,2025-08-20 09:40:00,2025-08-20 09:45:00,09:45,1433.21625,1431.4,1410.2,21.200000000000045,1422.61625,10.599999999999909,1454.4162499999998,2025-08-20 11:55:00,1454.4162499999998,TARGET,False,18.31236749999982,1.7275818396226392,ORB_50PCT
INFY,2025-08-20,BUY,2025-08-20 09:40:00,2025-08-20 09:45:00,09:45,1433.21625,1431.4,1410.2,21.200000000000045,1410.2,23.0162499999999,1479.2487499999997,2025-08-20 15:25:00,1464.7,END_OF_DAY,False,28.5858337500001,1.2419848476619877,ORB_BOUNDARY
INFY,2025-08-22,SELL,2025-08-22 09:50:00,2025-08-22 09:55:00,09:55,1458.77025,1472.4,1461.0,11.400000000000091,1464.47025,5.7000000000000455,1447.37025,2025-08-22 11:20:00,1464.47025,STOP_LOSS,False,-8.623240500000046,-1.5128492105263118,ORB_50PCT
INFY,2025-08-22,SELL,2025-08-22 09:50:00,2025-08-22 09:55:00,09:55,1458.77025,1472.4,1461.0,11.400000000000091,1472.4,13.629750000000058,1431.51075,2025-08-22 15:25:00,1456.4,END_OF_DAY,False,-0.5449202500000583,-0.039980208734573704,ORB_BOUNDARY
INFY,2025-08-25,BUY,2025-08-25 09:30:00,2025-08-25 09:35:00,09:35,1491.3453,1488.7,1474.8,13.900000000000091,1484.3953,6.9500000000000455,1505.2453,2025-08-25 13:35:00,1505.2453,TARGET,False,10.90340940000009,1.568835884892089,ORB_50PCT
INFY,2025-08-25,BUY,2025-08-25 09:30:00,2025-08-25 09:35:00,09:35,1491.3453,1488.7,1474.8,13.900000000000091,1474.8,16.545299999999997,1524.4359,2025-08-25 15:25:00,1500.8,END_OF_DAY,False,6.462554700000002,0.39059761382386554,ORB_BOUNDARY
INFY,2025-08-26,BUY,2025-08-26 09:35:00,2025-08-26 09:40:00,09:40,1504.9521,1503.1,1487.5,15.599999999999909,1497.1521,7.7999999999999545,1520.5520999999999,2025-08-26 10:00:00,1497.1521,STOP_LOSS,False,-10.802104199999954,-1.384885153846156,ORB_50PCT
INFY,2025-08-26,BUY,2025-08-26 09:35:00,2025-08-26 09:40:00,09:40,1504.9521,1503.1,1487.5,15.599999999999909,1487.5,17.452099999999973,1539.8563,2025-08-26 12:30:00,1487.5,STOP_LOSS,False,-20.444552099999974,-1.1714665914130682,ORB_BOUNDARY
INFY,2025-08-28,SELL,2025-08-28 10:10:00,2025-08-28 10:15:00,10:15,1473.8627,1497.2,1477.5,19.700000000000045,1483.7127,9.850000000000136,1454.1626999999996,2025-08-28 15:25:00,1468.2,END_OF_DAY,False,2.7206372999998587,0.2762068324872915,ORB_50PCT
INFY,2025-08-28,SELL,2025-08-28 10:10:00,2025-08-28 10:15:00,10:15,1473.8627,1497.2,1477.5,19.700000000000045,1497.2,23.33730000000014,1427.1880999999996,2025-08-28 15:25:00,1468.2,END_OF_DAY,False,2.7206372999998587,0.1165789230116527,ORB_BOUNDARY
INFY,2025-08-29,SELL,2025-08-29 09:30:00,2025-08-29 09:35:00,09:35,1454.57235,1470.1,1456.3,13.799999999999955,1461.47235,6.900000000000091,1440.7723499999997,2025-08-29 14:20:00,1440.7723499999997,TARGET,False,10.904655300000183,1.5803848260869622,ORB_50PCT
INFY,2025-08-29,SELL,2025-08-29 09:30:00,2025-08-29 09:35:00,09:35,1454.57235,1470.1,1456.3,13.799999999999955,1470.1,15.527649999999994,1423.51705,2025-08-29 15:25:00,1437.9,END_OF_DAY,False,13.779877649999824,0.8874412837744172,ORB_BOUNDARY
INFY,2025-09-02,BUY,2025-09-02 11:45:00,2025-09-02 11:50:00,11:50,1472.83605,1471.2,1454.8,16.40000000000009,1464.6360499999998,8.200000000000045,1489.23605,2025-09-02 14:05:00,1464.6360499999998,STOP_LOSS,False,-11.137472100000046,-1.3582283048780468,ORB_50PCT
INFY,2025-09-02,BUY,2025-09-02 11:45:00,2025-09-02 11:50:00,11:50,1472.83605,1471.2,1454.8,16.40000000000009,1454.8,18.036049999999932,1508.9081499999998,2025-09-02 15:25:00,1463.3,END_OF_DAY,False,-12.472186049999932,-0.6915142755758594,ORB_BOUNDARY
INFY,2025-09-03,SELL,2025-09-03 09:45:00,2025-09-03 09:50:00,09:50,1447.3759499999999,1470.1,1450.7,19.399999999999864,1457.07595,9.700000000000045,1427.9759499999998,2025-09-03 15:25:00,1448.7,END_OF_DAY,False,-4.22012595000017,-0.4350645309278506,ORB_50PCT
INFY,2025-09-03,SELL,2025-09-03 09:45:00,2025-09-03 09:50:00,09:50,1447.3759499999999,1470.1,1450.7,19.399999999999864,1470.1,22.724050000000034,1401.9278499999998,2025-09-03 15:25:00,1448.7,END_OF_DAY,False,-4.22012595000017,-0.18571187574398773,ORB_BOUNDARY
INFY,2025-09-04,SELL,2025-09-04 09:40:00,2025-09-04 09:45:00,09:45,1439.5798499999999,1452.6,1443.8,8.799999999999955,1443.9798499999997,4.399999999999864,1430.7798500000001,2025-09-04 09:45:00,1443.9798499999997,STOP_LOSS,False,-7.283559699999863,-1.6553544772727475,ORB_50PCT
INFY,2025-09-04,SELL,2025-09-04 09:40:00,2025-09-04 09:45:00,09:45,1439.5798499999999,1452.6,1443.8,8.799999999999955,1452.6,13.020150000000058,1413.5395499999997,2025-09-04 15:25:00,1430.5,END_OF_DAY,False,6.209770149999851,0.4769353770885761,ORB_BOUNDARY
