SYMBOL,SL_MODE,TARGET_R,trade_date,direction,signal_candle_time,entry_candle_time,entry_price,stop_loss,initial_risk,target,target_r,entry_vwap,mfe,mae,mfe_r,mae_r,exit_time,exit_price,exit_reason,same_candle_ambiguous,gross_pnl,costs,net_pnl,entry_vwap_distance,VWAP_DISTANCE_BUCKET
INFY,ORB_50,2.0,2025-08-18,SELL,2025-08-18 10:20:00+05:30,2025-08-18 10:25:00+05:30,1411.0941,1421.1441,10.049999999999956,1390.9941,2.0,1417.0830361297806,11.794100000000071,1.3059000000000651,1.1735422885572264,0.1299402985074697,2025-08-18 15:25:00+05:30,1406.3028,END_OF_DAY,False,4.791300000000092,2.8173969,1.973903100000092,-5.988936129780541,Q2
INFY,ORB_50,2.0,2025-08-19,BUY,2025-08-19 09:55:00+05:30,2025-08-19 10:00:00+05:30,1413.60645,1408.65645,4.9500000000000455,1423.50645,2.0,1410.04224184665,5.09355000000005,6.106449999999995,1.0290000000000006,1.2336262626262504,2025-08-19 10:35:00+05:30,1407.952121775,STOP_LOSS,False,-5.654328224999972,2.821558571775,-8.475886796774972,3.5642081533499095,Q1_CLOSEST
INFY,ORB_50,2.0,2025-08-20,BUY,2025-08-20 09:40:00+05:30,2025-08-20 09:45:00+05:30,1433.21625,1422.61625,10.599999999999907,1454.4162499999998,2.0,1426.860151162046,34.08375000000001,1.6162500000000364,3.215448113207576,0.1524764150943443,2025-08-20 11:55:00+05:30,1453.6890418749997,TARGET,False,20.47279187499976,2.886905291875,17.585886583124758,6.35609883795405,Q3
INFY,ORB_50,2.0,2025-08-22,SELL,2025-08-22 09:50:00+05:30,2025-08-22 09:55:00+05:30,1458.77025,1464.47025,5.7000000000000455,1447.37025,2.0,1462.8738632802394,4.170250000000124,9.029749999999922,0.7316228070175598,1.5841666666666403,2025-08-22 11:20:00+05:30,1465.202485125,STOP_LOSS,False,-6.432235125000034,2.9239727351250004,-9.356207860125034,-4.103613280239415,Q1_CLOSEST
INFY,ORB_50,2.0,2025-08-25,BUY,2025-08-25 09:30:00+05:30,2025-08-25 09:35:00+05:30,1491.3453,1484.3953,6.9500000000000455,1505.2453,2.0,1486.5678298760067,15.05470000000014,4.345299999999952,2.166143884892092,0.6252230215827228,2025-08-25 13:35:00+05:30,1504.49267735,TARGET,False,13.14737735000017,2.9958379773500003,10.15153937265017,4.777470123993226,Q1_CLOSEST
INFY,ORB_50,2.0,2025-08-26,BUY,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,1504.9521,1497.1521,7.799999999999954,1520.5521,2.0,1499.6278192957263,0.8478999999999814,18.55209999999988,0.1087051282051264,2.378474358974357,2025-08-26 10:00:00+05:30,1496.40352395,STOP_LOSS,False,-8.548576050000065,3.00135562395,-11.549931673950065,5.324280704273633,Q2
INFY,ORB_50,2.0,2025-08-28,SELL,2025-08-28 10:10:00+05:30,2025-08-28 10:15:00+05:30,1473.8627,1483.7127,9.850000000000136,1454.1626999999996,2.0,1480.9423373391355,7.56269999999995,6.637300000000096,0.7677868020304411,0.673837563451777,2025-08-28 15:25:00+05:30,1468.9341,END_OF_DAY,False,4.92859999999996,2.9427968,1.9858031999999604,-7.0796373391356155,Q3
INFY,ORB_50,2.0,2025-08-29,SELL,2025-08-29 09:30:00+05:30,2025-08-29 09:35:00+05:30,1454.57235,1461.47235,6.900000000000091,1440.7723499999995,2.0,1458.9894531141676,17.972350000000006,4.127650000000131,2.604688405797068,0.5982101449275473,2025-08-29 14:20:00+05:30,1441.4927361749997,TARGET,False,13.079613825000251,2.896065086175,10.183548738825252,-4.41710311416773,Q1_CLOSEST
INFY,ORB_50,2.0,2025-09-02,BUY,2025-09-02 11:45:00+05:30,2025-09-02 11:50:00+05:30,1472.83605,1464.6360499999998,8.200000000000045,1489.23605,2.0,1464.220852128313,7.963950000000068,11.336049999999886,0.9712134146341492,1.382445121951198,2025-09-02 14:05:00+05:30,1463.9037319749998,STOP_LOSS,False,-8.932318025000086,2.936739781975,-11.869057806975086,8.61519787168686,Q4_FARTHEST
INFY,ORB_50,2.0,2025-09-03,SELL,2025-09-03 09:45:00+05:30,2025-09-03 09:50:00+05:30,1447.37595,1457.07595,9.700000000000044,1427.9759499999998,2.0,1454.1769778790228,5.575949999999921,2.8240500000001703,0.5748402061855561,0.2911391752577481,2025-09-03 15:25:00+05:30,1449.42435,END_OF_DAY,False,-2.048400000000129,2.8968003,-4.945200300000129,-6.80102787902274,Q3
INFY,ORB_50,2.0,2025-09-04,SELL,2025-09-04 09:40:00+05:30,2025-09-04 09:45:00+05:30,1439.57985,1443.9798499999995,4.399999999999864,1430.77985,2.0,1444.853569887838,10.379849999999806,5.720150000000103,2.359056818181847,1.3000340909091548,2025-09-04 09:45:00+05:30,1444.7018399249996,STOP_LOSS,False,-5.1219899249997525,2.8842816899249994,-8.006271614924753,-5.273719887837842,Q2
