trade_date,symbol,entries,buys,sells
2025-09-17,RELIANCE,2,1,1
2025-09-17,SUZLON,5,3,2
2025-09-17,TMPV,3,1,2
2025-09-18,ASHOKLEY,5,3,2
2025-09-18,ICICIBANK,5,3,2
2025-09-18,INFY,2,1,1
2025-09-18,OLAELEC,4,2,2
2025-09-18,RELIANCE,6,3,3
2025-09-18,SUZLON,2,1,1
2025-09-18,TMPV,1,0,1
2025-09-19,ASHOKLEY,3,1,2
2025-09-19,ICICIBANK,1,0,1
2025-09-19,INFY,1,1,0
2025-09-19,OLAELEC,5,2,3
2025-09-19,RELIANCE,3,1,2
2025-09-19,SUZLON,2,1,1
2025-09-19,TMPV,5,2,3
2025-09-22,ASHOKLEY,4,2,2
2025-09-22,ICICIBANK,4,2,2
2025-09-22,INFY,2,1,1
2025-09-22,OLAELEC,3,2,1
2025-09-22,RELIANCE,2,1,1
2025-09-22,SUZLON,3,1,2
2025-09-23,ASHOKLEY,1,1,0
2025-09-23,ICICIBANK,4,2,2
2025-09-23,INFY,3,1,2
2025-09-23,OLAELEC,7,3,4
2025-09-23,RELIANCE,1,1,0
2025-09-23,TMPV,5,3,2
2025-09-24,ASHOKLEY,5,2,3
2025-09-24,ICICIBANK,2,1,1
2025-09-24,INFY,1,1,0
2025-09-24,OLAELEC,2,1,1
2025-09-24,RELIANCE,3,1,2
2025-09-24,TMPV,1,0,1
2025-09-25,ASHOKLEY,4,2,2
2025-09-25,ICICIBANK,3,1,2
2025-09-25,INFY,4,2,2
2025-09-25,OLAELEC,1,1,0
2025-09-25,RELIANCE,6,3,3
2025-09-25,SUZLON,4,2,2
2025-09-25,TMPV,2,1,1
2025-09-26,ASHOKLEY,5,3,2
2025-09-26,ICICIBANK,2,1,1
2025-09-26,INFY,3,1,2
2025-09-26,OLAELEC,4,2,2
2025-09-26,RELIANCE,3,2,1
2025-09-26,SUZLON,2,1,1
2025-09-26,TMPV,2,1,1
2025-09-29,ASHOKLEY,3,1,2
2025-09-29,ICICIBANK,4,2,2
2025-09-29,INFY,4,2,2
2025-09-29,OLAELEC,8,4,4
2025-09-29,RELIANCE,3,1,2
2025-09-29,SUZLON,4,2,2
2025-09-29,TMPV,4,2,2
2025-09-30,ASHOKLEY,5,3,2
2025-09-30,ICICIBANK,4,2,2
2025-09-30,INFY,2,1,1
2025-09-30,RELIANCE,8,4,4
2025-09-30,SUZLON,1,1,0
2025-09-30,TMPV,3,2,1
2025-10-01,ASHOKLEY,5,2,3
2025-10-01,ICICIBANK,4,2,2
2025-10-01,INFY,3,2,1
2025-10-01,OLAELEC,4,2,2
2025-10-01,RELIANCE,3,2,1
2025-10-01,SUZLON,2,1,1
2025-10-03,ASHOKLEY,1,1,0
2025-10-03,ICICIBANK,6,3,3
2025-10-03,INFY,8,4,4
2025-10-03,OLAELEC,1,0,1
2025-10-03,RELIANCE,4,2,2
2025-10-03,SUZLON,4,2,2
2025-10-03,TMPV,1,0,1
2025-10-06,ASHOKLEY,1,0,1
2025-10-06,ICICIBANK,4,2,2
2025-10-06,INFY,2,1,1
2025-10-06,OLAELEC,3,1,2
2025-10-06,RELIANCE,2,1,1
2025-10-06,SUZLON,1,0,1
2025-10-06,TMPV,1,1,0
2025-10-07,ASHOKLEY,2,1,1
2025-10-07,ICICIBANK,3,1,2
2025-10-07,INFY,3,1,2
2025-10-07,OLAELEC,2,1,1
2025-10-07,RELIANCE,5,2,3
2025-10-07,SUZLON,4,2,2
2025-10-07,TMPV,1,0,1
2025-10-08,ASHOKLEY,2,1,1
2025-10-08,ICICIBANK,3,2,1
2025-10-08,INFY,3,2,1
2025-10-08,OLAELEC,6,3,3
2025-10-08,RELIANCE,2,1,1
2025-10-08,TMPV,2,1,1
2025-10-09,ASHOKLEY,1,1,0
2025-10-09,ICICIBANK,7,4,3
2025-10-09,INFY,4,2,2
2025-10-09,OLAELEC,4,2,2
2025-10-09,RELIANCE,7,4,3
2025-10-09,SUZLON,8,4,4
2025-10-09,TMPV,5,3,2
2025-10-10,ASHOKLEY,3,1,2
2025-10-10,ICICIBANK,3,1,2
2025-10-10,INFY,4,2,2
2025-10-10,OLAELEC,4,2,2
2025-10-10,RELIANCE,3,1,2
2025-10-10,SUZLON,2,1,1
2025-10-10,TMPV,4,2,2
2025-10-13,ASHOKLEY,1,1,0
2025-10-13,ICICIBANK,5,3,2
2025-10-13,INFY,2,1,1
2025-10-13,OLAELEC,1,1,0
2025-10-13,RELIANCE,1,1,0
2025-10-13,SUZLON,4,2,2
2025-10-13,TMPV,1,0,1
2025-10-14,ASHOKLEY,2,1,1
2025-10-14,ICICIBANK,4,2,2
2025-10-14,INFY,3,1,2
2025-10-14,OLAELEC,2,1,1
2025-10-14,RELIANCE,4,2,2
2025-10-14,SUZLON,2,1,1
2025-10-14,TMPV,2,1,1
2025-10-15,ASHOKLEY,5,2,3
2025-10-15,ICICIBANK,4,2,2
2025-10-15,INFY,2,1,1
2025-10-15,OLAELEC,2,1,1
2025-10-15,RELIANCE,3,1,2
2025-10-15,SUZLON,1,0,1
2025-10-15,TMPV,1,1,0
2025-10-16,ASHOKLEY,4,2,2
2025-10-16,INFY,3,2,1
2025-10-16,RELIANCE,1,1,0
2025-10-16,SUZLON,3,2,1
2025-10-16,TMPV,5,2,3
2025-10-17,ASHOKLEY,2,1,1
2025-10-17,ICICIBANK,2,1,1
2025-10-17,INFY,2,1,1
2025-10-17,OLAELEC,2,1,1
2025-10-17,RELIANCE,4,2,2
2025-10-17,SUZLON,2,1,1
2025-10-17,TMPV,5,3,2
2025-10-20,ASHOKLEY,2,1,1
2025-10-20,ICICIBANK,1,0,1
2025-10-20,INFY,4,2,2
2025-10-20,OLAELEC,2,1,1
2025-10-20,RELIANCE,1,0,1
2025-10-20,SUZLON,2,1,1
2025-10-20,TMPV,4,2,2
2025-10-21,ASHOKLEY,1,1,0
2025-10-21,OLAELEC,1,0,1
2025-10-21,RELIANCE,2,1,1
2025-10-23,ASHOKLEY,3,1,2
2025-10-23,INFY,1,0,1
2025-10-23,OLAELEC,5,3,2
2025-10-23,RELIANCE,4,2,2
2025-10-23,SUZLON,3,1,2
2025-10-23,TMPV,3,1,2
2025-10-24,ICICIBANK,7,4,3
2025-10-24,INFY,5,3,2
2025-10-24,OLAELEC,6,3,3
2025-10-24,RELIANCE,4,2,2
2025-10-24,SUZLON,2,1,1
