symbol,direction,entries,median_ema_spread_atr,median_ema21_slope_abs_atr,median_ema_spread_change_abs_atr,median_close_ema21_distance_atr,median_close_ema9_distance_atr
ASHOKLEY,BUY,386,0.05060693948999129,0.09598805995282292,0.1301437427326423,0.9598805995283186,0.9132697327860378
ASHOKLEY,SELL,389,0.04811621265181159,0.08315949525669648,0.11132005227339155,0.8315949525667294,0.7791835135654713
ICICIBANK,BUY,405,0.04788782917908912,0.08568186500942096,0.11575640962407206,0.8568186500943619,0.803249073015498
ICICIBANK,SELL,406,0.048423115241102904,0.0836848829642593,0.11301491890372212,0.83684882964246,0.796774074200534
INFY,BUY,380,0.049117438676877956,0.09059056432501816,0.1232637634448942,0.9059056432499955,0.85102635564008
INFY,SELL,378,0.0561276251872264,0.09015128473167805,0.1228213484459415,0.9015128473163505,0.8686524812980736
OLAELEC,BUY,384,0.05438425317813474,0.09205995146271331,0.12282445484335336,0.9205995146272548,0.8694470345549435
OLAELEC,SELL,388,0.04297717586782321,0.07699044650260842,0.10116288592528774,0.7699044650258884,0.7089132584681186
RELIANCE,BUY,409,0.054501937055074605,0.08545266681591548,0.11500437435936689,0.8545266681597147,0.8007122484367656
RELIANCE,SELL,410,0.049111817151513984,0.08573446528058831,0.11405419309878187,0.8573446528060507,0.8015672661997821
SUZLON,BUY,369,0.06297948136737751,0.11297845374522439,0.15295024956253134,1.1297845374519393,1.0636520196163064
SUZLON,SELL,369,0.05121811034745177,0.08710323228610972,0.11484389442442713,0.8710323228606827,0.80166234144948
TMPV,BUY,356,0.052952977488930277,0.09955364827601404,0.13082151208527334,0.9955364827603046,0.9180163279058927
TMPV,SELL,360,0.04863590517173319,0.08867796362834869,0.11825532184882379,0.8867796362834421,0.8334533528643909
