variant,threshold_pct,entry_hour,trades,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r
EMA_GAP_0P05PCT,0.05,09:35,240,-393.8270760349997,-1.6409461501458322,-136.79181282908345,-0.5699658867878478
EMA_GAP_0P05PCT,0.05,09:40,109,-73.08893206999907,-0.6705406611926521,-19.131438253993622,-0.17551778214673047
EMA_GAP_0P05PCT,0.05,09:45,74,-83.52079120500012,-1.1286593406081098,-38.93445864874221,-0.5261413330911109
EMA_GAP_0P05PCT,0.05,09:50,76,-81.76604582500035,-1.0758690240131625,-24.25657336863677,-0.31916543906101014
EMA_GAP_0P05PCT,0.05,09:55,51,-83.51523968500037,-1.6375537193137326,-27.804239388070542,-0.5451811644719714
EMA_GAP_0P05PCT,0.05,10:00,38,-118.23427318000007,-3.1114282415789494,-23.751367113239304,-0.6250359766641922
EMA_GAP_0P05PCT,0.05,10:05,40,-74.19790382000008,-1.8549475955000019,-16.91514452148705,-0.4228786130371763
EMA_GAP_0P05PCT,0.05,10:10,34,-84.26126532499974,-2.478272509558816,-11.306554229070267,-0.3325457126197137
EMA_GAP_0P05PCT,0.05,10:15,29,-11.308064555000032,-0.3899332605172425,-10.799654758389384,-0.37240188822032355
EMA_GAP_0P05PCT,0.05,10:20,20,16.99066860000022,0.849533430000011,-0.31817151357211426,-0.015908575678605714
EMA_GAP_0P05PCT,0.05,10:25,30,-20.93044438499971,-0.6976814794999904,-2.7737336459531368,-0.09245778819843789
EMA_GAP_0P05PCT,0.05,10:30,22,-45.40366539500013,-2.063802972500006,-9.096624895091365,-0.4134829497768802
EMA_GAP_0P05PCT,0.05,10:35,24,-16.698918954999662,-0.6957882897916526,-1.0253524573475983,-0.042723019056149926
EMA_GAP_0P05PCT,0.05,10:40,26,-46.80253704000039,-1.8000975784615534,-13.326483932292552,-0.5125570743189443
EMA_GAP_0P05PCT,0.05,10:45,30,-56.02706569000016,-1.8675688563333386,-15.240893479964102,-0.50802978266547
EMA_GAP_0P05PCT,0.05,10:50,18,-28.074633685000222,-1.5597018713889013,-10.299488793095541,-0.5721938218386412
EMA_GAP_0P05PCT,0.05,10:55,14,-22.812641964999987,-1.6294744260714276,-6.456272869389089,-0.46116234781350635
EMA_GAP_0P05PCT,0.05,11:00,12,-12.388546209999847,-1.0323788508333205,-4.83223954606016,-0.40268662883834666
EMA_GAP_0P05PCT,0.05,11:05,14,-24.437413775000373,-1.7455295553571695,-5.000384921168499,-0.35717035151203563
EMA_GAP_0P05PCT,0.05,11:10,11,-23.646559554999865,-2.149687232272715,-5.340975986431509,-0.4855432714937736
EMA_GAP_0P05PCT,0.05,11:15,15,-18.000493150000032,-1.2000328766666688,-2.2494795248273896,-0.1499653016551593
EMA_GAP_0P05PCT,0.05,11:20,20,-30.295599139999837,-1.5147799569999918,-0.7544633983552548,-0.03772316991776274
EMA_GAP_0P05PCT,0.05,11:25,14,-33.13526917000011,-2.3668049407142933,-4.640948146469713,-0.331496296176408
EMA_GAP_0P05PCT,0.05,11:30,15,-3.3254482349999144,-0.2216965489999943,-9.482942058795773,-0.6321961372530516
EMA_GAP_0P05PCT,0.05,11:35,10,23.778917585000222,2.3778917585000223,6.411810081301588,0.6411810081301588
EMA_GAP_0P05PCT,0.05,11:40,12,-10.627031065000004,-0.8855859220833336,-1.8297346274209838,-0.15247788561841533
EMA_GAP_0P05PCT,0.05,11:45,13,-4.467510514999945,-0.34365465499999576,-2.8046120406418416,-0.2157393877416801
EMA_GAP_0P05PCT,0.05,11:50,17,-48.82864484000018,-2.8722732258823633,-8.384483718619618,-0.49320492462468346
EMA_GAP_0P05PCT,0.05,11:55,13,-22.860388629999882,-1.758491433076914,-5.854758691072558,-0.4503660531594275
EMA_GAP_0P05PCT,0.05,12:00,13,2.563289950000371,0.19717615000002853,-1.1399383363465456,-0.08768756433434967
EMA_GAP_0P05PCT,0.05,12:05,16,3.5660260249997986,0.2228766265624874,-0.026965555799623786,-0.0016853472374764866
EMA_GAP_0P05PCT,0.05,12:10,8,-6.4127994750000745,-0.8015999343750093,-0.5146298699381651,-0.06432873374227063
EMA_GAP_0P05PCT,0.05,12:15,10,-39.1442835450004,-3.91442835450004,-10.905643199804341,-1.0905643199804342
EMA_GAP_0P05PCT,0.05,12:20,7,12.254983600000315,1.750711942857188,-0.39099065798129023,-0.055855808283041465
EMA_GAP_0P05PCT,0.05,12:25,10,-11.02536942000018,-1.102536942000018,-2.4429623116217005,-0.24429623116217006
EMA_GAP_0P05PCT,0.05,12:30,9,12.037366209999826,1.3374851344444252,3.856774372293768,0.42853048581041864
EMA_GAP_0P05PCT,0.05,12:35,12,-17.739281919999915,-1.4782734933333261,-8.603350622466627,-0.7169458852055522
EMA_GAP_0P05PCT,0.05,12:40,13,-18.643198510000158,-1.4340921930769353,-3.0337064614295244,-0.2333620354945788
EMA_GAP_0P05PCT,0.05,12:45,9,-35.190204244999684,-3.9100226938888536,-4.9157584748574505,-0.5461953860952723
EMA_GAP_0P05PCT,0.05,12:50,14,15.273071955000157,1.0909337110714399,-3.4317789817638884,-0.24512707012599202
EMA_GAP_0P05PCT,0.05,12:55,3,-4.2358215150000715,-1.4119405050000238,-1.1260464228841975,-0.37534880762806583
EMA_GAP_0P05PCT,0.05,13:00,10,11.34528663499968,1.1345286634999678,1.2777177440922545,0.12777177440922544
