FILTER,TRADES,EXCLUDED,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,STOP_LOSS,TARGET,END_OF_DAY,AVG_MFE_R,AVG_MAE_R
NO_FILTER,1879,0,32.9430548163917,-3301.07418725272,-1.7568250065208728,0.3696266067594631,3293.3941899262472,964,399,516,1.5458701269520336,1.6647207768556316
Q1_SMALLEST,479,1400,28.39248434237996,-982.7454846534059,-2.0516607195269434,0.17841198380392137,974.2695978566311,308,118,53,2.011044864463377,2.4099447390748323
Q1_Q2,946,933,30.76109936575053,-1808.2353378535786,-1.9114538455111825,0.25764299728144696,1801.0384151743867,563,235,148,1.846544093341987,2.0648847144491462
EXCLUDE_Q4_LARGEST,1415,464,32.72084805653711,-2562.8287829405276,-1.8111864190392422,0.31143486693572886,2555.1487856140543,789,338,288,1.7185632604578291,1.8451866522119376
