variant,threshold_pct,trades,stop_loss,target,end_of_day,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor
EMA_REGIME_0PCT,0.0,1557,776,320,461,20.552344251766215,-2164.5974796900027,-1.3902360177842021,-647.1294321404702,-0.415625839525029,0.44604933512369815
EMA_GAP_0P05PCT,0.05,1411,682,287,442,20.340184266477674,-1864.9006549149997,-1.3216872111374909,-543.0194546654127,-0.3848472393092932,0.4568582465794127
EMA_GAP_0P1PCT,0.1,1132,554,225,353,19.87632508833922,-1375.9401057150005,-1.2154947930344528,-402.93325695908675,-0.35594810685431694,0.4821217798349072
EMA_GAP_0P2PCT,0.2,692,319,145,228,20.953757225433524,-670.0820081400021,-0.9683266013583846,-169.71832806988306,-0.2452576995229524,0.5578103840097673
EMA_GAP_0P3PCT,0.3,421,188,97,136,23.040380047505938,-180.4489529800012,-0.4286198408076038,-51.578140928276675,-0.12251339887951704,0.7794984754767762
EMA_GAP_0P5PCT,0.5,183,68,51,64,27.86885245901639,107.78985934499961,0.5890156248360635,18.353207194426144,0.10029074969631772,1.412258050250765
