GROUP,TRADES,AVG_MFE_R,MEDIAN_MFE_R,AVG_MAE_R,MEDIAN_MAE_R,TARGET_2R_RATE_PCT,STOP_1R_RATE_PCT,AVG_ENTRY_VWAP_DISTANCE,AVG_SIGNAL_VWAP_DISTANCE,AVG_ORB_RANGE
20,322,1.7084379513781434,1.1167209876543196,2.057508800689383,1.4537378263052347,29.81366459627329,66.14906832298136,2.9545875329632603,3.06974859744685,7.160403726708086
25,165,1.850844195985068,1.3939595959596285,1.99379764442693,1.4230350877192919,37.57575757575757,62.42424242424243,2.9098744213084804,2.897073980895668,6.863515151515157
30,112,1.7833656602120098,1.346389228418638,2.2745634699568127,1.4484605431018758,35.714285714285715,64.28571428571429,2.818886024280276,2.8060765464581783,6.645446428571428
35,119,1.8867316397343428,1.3078072289156555,1.9822146006536094,1.1591032258064453,33.61344537815126,53.78151260504202,2.9831214588440527,2.9053573945560736,7.1472268907563095
40,77,1.9161603280963486,1.2155890410959058,1.782510707222459,1.3275703125000027,32.467532467532465,62.33766233766234,2.296048361297807,2.1961673697244377,5.35051948051948
45,64,1.6083533141138981,1.2340594525823576,2.0656092380450164,1.6440327976817635,23.4375,67.1875,3.101514267018027,3.002334294743233,6.66375
50,64,1.5399914088205828,0.8843193493150445,1.9376681848724921,1.3480718718967246,26.5625,57.8125,2.808849728652036,2.693122840485775,5.842812500000006
55,57,1.7074269217263562,1.2150756302520902,1.5976291130013358,1.3238666666666619,33.33333333333333,63.1578947368421,2.836224893066767,2.8512365838289684,6.242280701754391
60,50,1.7251442611083496,1.2648265306122806,2.004643533051605,1.4542416010895844,34.0,62.0,3.0151334420147564,2.8593900343921814,5.899399999999997
65,24,1.9281478902085702,1.7295708450704605,1.058998340164969,0.897681596884136,29.166666666666668,33.33333333333333,3.483129740069892,3.381503338407723,7.372500000000002
70,39,1.7475869600288256,1.173542288557213,1.6685636846156666,1.3493902439024406,35.8974358974359,53.84615384615385,3.2478453926327835,3.1390156571849874,6.727948717948728
75,31,1.290121546076907,0.9118347107438167,1.664917896528611,1.220396694214852,16.129032258064516,54.83870967741935,3.881865633781443,3.7604294438273502,8.486129032258077
