FILTER,CUTOFF,TRADES,EXCLUDED,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,STOP_LOSS,TARGET,END_OF_DAY,AVG_MFE_R,AVG_MAE_R
NO_FILTER,NONE,1879,1,32.9430548163917,-3301.07418725272,-1.7568250065208728,0.3696266067594631,3293.3941899262472,964,399,516,1.5458701269520336,1.6647207768556316
ENTRY_LE_12_15,12:15,1513,367,33.509583608724384,-2733.191000671576,-1.8064712496176973,0.3797258279334236,2725.5110033451047,849,354,310,1.67685883421043,1.829686447875612
ENTRY_LE_13_15,13:15,1628,252,33.845208845208845,-2834.9805216791274,-1.7413885268299307,0.3906132828039333,2827.300524352656,894,379,355,1.65833641910602,1.7921637912669806
ENTRY_LE_14_15,14:15,1723,157,33.95240858966918,-2941.6408898410828,-1.7072785199309823,0.39128446222713403,2933.9608925146104,924,390,409,1.629969898725335,1.743869183141325
