entry_time,baseline_trades,baseline_pf,baseline_avg_net_r,baseline_total_net_r,filtered_trades,filtered_pf,filtered_avg_net_r,filtered_total_net_r
09:35,322,0.3977255525661275,-0.5402950732991386,-173.97501360232263,251,0.436999251147702,-0.5502887875531157,-138.12248567583205
09:40,165,0.5047109989291254,-0.3735771307928476,-61.640226580819856,121,0.659988491449894,-0.24988051193463856,-30.235541944091267
09:45,112,0.4231207189457225,-0.5648598864336469,-63.26430728056846,82,0.49042817380511805,-0.6227040116025856,-51.06172895141202
09:50,119,0.750423404508284,-0.310673615255685,-36.97016021542651,84,0.6509459343554618,-0.2427065503658275,-20.38735023072951
09:55,77,0.41724798383432743,-0.5710952051714556,-43.97433079820208,58,0.5116601968814747,-0.5614518198206513,-32.56420554959777
10:00,64,0.22328163808521184,-0.677138622790988,-43.33687185862323,44,0.10010394198453065,-0.7355914965885068,-32.3660258498943
10:05,64,0.3264308279992129,-0.41700708528292946,-26.688453458107485,44,0.22046298765690275,-0.49066851816676293,-21.58941479933757
10:10,57,0.350630904983634,-0.4831468647833972,-27.53937129265364,43,0.32768006811796946,-0.44452369010054943,-19.114518674323627
10:15,50,0.6703593804153811,-0.49364355439273483,-24.68217771963674,34,0.9790991471136397,-0.3528196708635853,-11.9958688093619
10:20,24,1.2021345756792312,-0.054128985138798075,-1.2990956433311538,23,1.6850893523405495,-0.013128165192553052,-0.3019477994287202
10:25,39,0.5204765424559398,-0.15650718641001418,-6.103780269990553,36,0.5352851472797556,-0.18317398986100517,-6.594263634996186
10:30,31,0.4674627715896502,-0.42829183275724125,-13.27704681547448,23,0.35797190072563095,-0.47294745994068105,-10.877791578635664
10:35,31,0.7405698136221762,-0.08716240115476186,-2.7020344357976174,27,0.5280514213083013,-0.054423405611155384,-1.4694319515011953
10:40,36,0.35543897268193186,-0.48955916215963197,-17.62412983774675,31,0.36566738735541837,-0.51418860049997,-15.93984661549907
10:45,34,0.7415379921917309,-0.4828040739079442,-16.415338512870104,33,0.30829488235571695,-0.5541925143760172,-18.288352974408568
10:50,23,0.12956199477823133,-0.7963750825627652,-18.3166268989436,22,0.13672404137855643,-0.7745364201999159,-17.03980124439815
10:55,19,0.4544201796349026,-0.46988571202101354,-8.927828528399257,18,0.4582817024784265,-0.42665271260592885,-7.679748826906719
11:00,15,0.22927300041297388,-0.4416503228734375,-6.624754843101562,13,0.23926215489938404,-0.49485694969693544,-6.433140346060161
11:05,18,0.37174577430268074,-0.4691216194630644,-8.44418915033516,17,0.3839900728321556,-0.3866445774706956,-6.572957817001825
11:10,13,0.2464098949471294,-0.6616658075758957,-8.601655498486643,13,0.2464098949471294,-0.6616658075758957,-8.601655498486643
11:15,16,0.5280165408914266,-0.2128504518590889,-3.4056072297454225,16,0.5280165408914266,-0.2128504518590889,-3.4056072297454225
11:20,25,0.3419268203131377,-0.02774973837425525,-0.6937434593563813,24,0.34176103881074094,-0.029711373937829123,-0.713072974507899
11:25,16,0.04615697293514332,-0.45737310110381013,-7.317969617660962,16,0.04615697293514332,-0.45737310110381013,-7.317969617660962
