sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X2,2.0,ICICIBANK,811,-898.8800773175453,-1.1083601446578857,0.14658731397060745,19.60542540073983,480,116,215,0.7721857034387003,0.9537083237407563
ATR_14_X2,2.0,INFY,758,-668.5683146418976,-0.8820162462294163,0.2090669989516047,23.350923482849602,416,121,221,0.8623145340695239,0.9123617267836842
ATR_14_X2,2.0,OLAELEC,772,-288.2634436262606,-0.37339824303919766,0.529719444823298,33.160621761658035,403,171,198,1.0825690791930096,0.9751294438733125
ATR_14_X2,2.0,RELIANCE,819,-829.0139835406603,-1.0122270861302325,0.16847520880673972,20.757020757020758,459,132,228,0.8484834236172025,0.9429897920399698
ATR_14_X2,2.0,SUZLON,738,-476.6530090992574,-0.6458712860423542,0.34821553108050624,29.81029810298103,403,156,179,0.9398033531773066,0.9403848616870064
ATR_14_X2,2.0,TMPV,716,-535.8633317428115,-0.7484124745011334,0.27698283374731514,27.51396648044693,382,138,196,0.9181065207314342,0.9014449539610419
ATR_14_X2,2.25,ASHOKLEY,775,-507.617954972737,-0.6549909096422413,0.33444275582103067,27.225806451612904,408,121,246,0.956877902708773,0.9549665810128783
ATR_14_X2,2.25,ICICIBANK,811,-898.8686434582482,-1.108346046187729,0.152182200751193,18.7422934648582,483,93,235,0.8012606502374132,0.9573546883997317
ATR_14_X2,2.25,INFY,758,-668.6022463590961,-0.8820610110278312,0.215248618775874,22.823218997361476,418,97,243,0.8854790115818154,0.9147487987750271
ATR_14_X2,2.25,OLAELEC,772,-278.2891943218639,-0.3604782309868703,0.5524521485354489,31.994818652849744,409,156,207,1.1172244045112274,0.9825408781007869
