SYMBOL,SL_MODE,TARGET_R,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
INFY,ORB,1.0,236,236,0,236,29,40,167,40.67796610169492,-646.5062465605488,-2.7394332481379187,0.5297202154601087,667.081418926799,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,1.0,236,236,0,236,87,102,47,46.61016949152542,-674.7216237290252,-2.8589899310551914,0.3983987346313418,681.2582629569752,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,1.0,236,235,1,235,98,101,36,45.53191489361702,-774.3141212614564,-3.294953707495559,0.32165327001134447,776.7836029928495,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,1.25,236,236,0,236,29,23,184,38.983050847457626,-707.2403610632796,-2.9967811909460997,0.4903321317880699,738.3730790783043,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,1.25,236,236,0,236,95,83,58,42.79661016949153,-661.6125380610009,-2.803442957885597,0.44748336273534667,664.7583619723509,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,1.25,236,235,1,235,105,86,44,42.12765957446808,-759.6890190627655,-3.2327192300543213,0.3741304960949269,763.6579814262695,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,1.5,236,236,0,236,30,15,191,38.13559322033898,-712.3682395784987,-3.0185094897394014,0.4919392111960044,752.545600017936,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,1.5,236,236,0,236,101,67,68,38.559322033898304,-695.0854620107996,-2.9452773814016933,0.45132660782668527,700.8773122471495,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,1.5,236,235,1,235,109,77,49,39.148936170212764,-715.1510130544037,-3.0431958002315054,0.4313380144938346,720.6194560500187,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,1.75,236,236,0,236,30,7,199,38.13559322033898,-736.4093751685858,-3.1203787083414656,0.4747930813813589,776.9575414827542,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,1.75,236,236,0,236,104,57,75,36.440677966101696,-683.3255128772254,-2.8954470884628196,0.47484470598788436,691.7633894385749,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,1.75,236,235,1,235,111,65,59,37.4468085106383,-688.8706267505003,-2.931364369151065,0.46288569072639396,696.2705471849082,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,2.0,236,236,0,236,30,4,202,38.13559322033898,-735.5167913795235,-3.116596573642049,0.4754296718394244,779.1983648267981,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,2.0,236,236,0,236,106,51,79,35.16949152542373,-661.1253442494753,-2.8013785773282853,0.4995778193807278,673.6239989132251,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,2.0,236,235,1,235,115,51,69,33.61702127659574,-734.9438033399648,-3.127420439744531,0.444381160011828,738.9363452135833,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,2.25,236,236,0,236,30,1,205,38.13559322033898,-760.1808326725106,-3.2211052231886046,0.45783928588703593,793.9029343225102,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,2.25,236,236,0,236,108,38,90,33.05084745762712,-722.8842320580751,-3.063068779907098,0.46581837076078586,736.614161269425,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,2.25,236,235,1,235,115,43,77,33.191489361702125,-717.8084632157365,-3.0545040987903684,0.4579010287141376,723.3876470562917,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,2.5,236,236,0,236,30,1,205,38.13559322033898,-757.6439567934734,-3.2103557491248873,0.4596485849104794,791.3660584434729,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
