variant,trades,stop_loss,target,end_of_day,wins,losses,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor,max_drawdown_r,avg_mfe_r,p90_mfe_r,avg_mae_r,p90_mae_r
BASELINE_ORBVWAP,1880,406,80,1394,726,1154,38.61702127659574,-2818.2258268400037,-1.4990562908723424,-344.8610155002491,-0.18343671037247292,0.48448277343345136,348.5846860204524,0.6008884742763579,1.4134908120570633,0.5641794199827952,1.0989000476117763
ORBVWAP_EMA_REGIME,1558,316,60,1182,598,960,38.382541720154045,-2477.0013088750034,-1.589859633424264,-288.22377871447895,-0.1849960068770725,0.45516238926409724,289.9973353811476,0.5835519335712627,1.3670623398863813,0.552795690108363,1.0878534144365466
