SL_MODE,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
ORB,1880,1880,0,1880,406,80,1394,36.38297872340426,-3452.188522898935,-1.8362704909036889,0.4142582773720183,3495.870096346207,0.6448343345479917,1.4438750652051706,0.692336037229568,1.5473233824471155
ORB_50,1880,1879,1,1879,964,399,516,32.9430548163917,-3301.0741872527196,-1.7568250065208726,0.3696266067594631,3313.57284191647,1.5458701269520339,3.48540563639711,1.6647207768556316,3.744507549295629
VWAP_MIDDLE,1880,1878,2,1878,988,404,486,32.42811501597444,-3412.6499358201054,-1.8171724897870636,0.34631508383123916,3416.6424776937206,1.7993306780157483,3.8456813542217723,1.8494828259488045,3.975194218799454
