entry_time,baseline_trades,baseline_pf,baseline_avg_net_r,baseline_total_net_r,filtered_trades,filtered_pf,filtered_avg_net_r,filtered_total_net_r
09:35,322,0.4806530468616813,-0.19771245180473357,-63.663409481124205,251,0.4499265762643452,-0.20837463080877006,-52.302032333001286
09:40,165,0.43098278933198175,-0.19488598643245128,-32.15618776135446,121,0.4489179096184379,-0.20388381852859833,-24.669942041960397
09:45,112,0.4571735295444294,-0.2395275002083153,-26.827080023331316,82,0.4348325080193011,-0.2925312595074854,-23.9875632796138
09:50,119,0.7673457479884294,-0.137889002889515,-16.408791343852286,84,0.7654901073858369,-0.11564260213610801,-9.713978579433073
09:55,77,0.7619276389789625,-0.14641990052329812,-11.274332340293954,58,0.8848933535028367,-0.16584656265253261,-9.619100633846891
10:00,64,0.543317676407266,-0.22846315196894262,-14.621641726012328,44,0.36646387570364836,-0.1813742545192749,-7.980467198848096
10:05,64,0.27664645296385315,-0.31828488974169694,-20.370232943468604,44,0.24228882644284946,-0.29678103183601173,-13.058365400784517
10:10,57,0.5115523634097838,-0.13346318419874778,-7.607401499328624,43,0.41879559276682127,-0.10820178557562952,-4.65267677975207
10:15,50,0.6701834446290312,-0.2664342856100249,-13.321714280501245,34,0.6929026432614803,-0.24449188575563544,-8.312724115691605
10:20,24,1.6517400977359806,0.08458457233638834,2.0300297360733204,23,2.407156319227788,0.10886836980476286,2.503972505509546
10:25,39,0.4778676060307729,-0.13250949972679413,-5.167870489344971,36,0.4381148988050506,-0.18815837151968073,-6.773701374708506
10:30,31,0.17749893906474298,-0.35869040758054815,-11.119402634996993,23,0.09438602091057673,-0.38287766657354516,-8.806186331191538
10:35,31,0.7120104037320625,-0.10353282259870343,-3.2095175005598064,27,0.7160092887455728,-0.0311822862823708,-0.8419217296240116
10:40,36,0.31468575555425904,-0.23949041941060203,-8.621655098781673,31,0.2635141830910655,-0.2767512551493691,-8.579288909630442
10:45,34,0.9496680218732063,-0.22439339226889565,-7.629375337142452,33,0.5588753651609986,-0.2562029466959269,-8.454697240965588
10:50,23,0.06712981537029279,-0.46365429532785013,-10.664048792540553,22,0.07267346919891644,-0.4338755031220857,-9.545261068685885
10:55,19,0.23504245745008817,-0.29983630844469195,-5.696889860449147,18,0.23759939572770303,-0.2545630702877597,-4.582135265179675
11:00,15,0.31521395705317357,-0.07053093096282925,-1.0579639644424388,13,0.29722238571602505,-0.14545943237767978,-1.890972620909837
11:05,18,0.49103519737320034,-0.23659477197477738,-4.258705895545993,17,0.5068190326106825,-0.16539189160541823,-2.8116621572921097
11:10,13,0.17224960788179144,-0.3913051819543378,-5.086967365406391,13,0.17224960788179144,-0.3913051819543378,-5.086967365406391
11:15,16,0.4398825402584637,-0.19046157003544056,-3.047385120567049,16,0.4398825402584637,-0.19046157003544056,-3.047385120567049
11:20,25,0.6808595119994337,0.07268509815580412,1.8171274538951032,24,0.6806417358483915,0.07533327233870156,1.8079985361288373
11:25,16,0.07964207753769878,-0.22779679729645258,-3.6447487567432413,16,0.07964207753769878,-0.22779679729645258,-3.6447487567432413
11:30,18,0.10073587926182898,-0.5418557760530643,-9.753403968955158,18,0.10073587926182898,-0.5418557760530643,-9.753403968955158
11:35,14,2.1141798689989533,0.3090569101938632,4.326796742714085,14,2.1141798689989533,0.3090569101938632,4.326796742714085
11:40,14,0.1978712072626411,-0.19492943121139958,-2.729012036959594,14,0.1978712072626411,-0.19492943121139958,-2.729012036959594
11:45,16,0.21425476576793762,-0.20606185695712032,-3.296989711313925,15,0.2096449803930164,-0.23465887345276012,-3.519883101791402
11:50,17,0.06137444836348151,-0.1705503188496307,-2.899355420443722,17,0.06137444836348151,-0.1705503188496307,-2.899355420443722
11:55,14,0.4670141168231755,-0.024701267716045975,-0.34581774802464366,14,0.4670141168231755,-0.024701267716045975,-0.34581774802464366
12:00,13,2.001420589229086,0.10576977780107644,1.3750071114139937,13,2.001420589229086,0.10576977780107644,1.3750071114139937
12:05,18,0.7652779669086832,-0.014412244057862468,-0.2594203930415244,18,0.7652779669086832,-0.014412244057862468,-0.2594203930415244
12:10,10,0.7975172503518514,0.033417893649738475,0.3341789364973847,10,0.7975172503518514,0.033417893649738475,0.3341789364973847
12:15,10,1.0250265780954688,-0.12551987531356293,-1.2551987531356292,10,1.0250265780954688,-0.12551987531356293,-1.2551987531356292
12:20,7,1.3844291255299277,-0.175820126631008,-1.230740886417056,7,1.3844291255299277,-0.175820126631008,-1.230740886417056
12:25,10,1.0830530880228997,-0.10770970767632926,-1.0770970767632926,10,1.0830530880228997,-0.10770970767632926,-1.0770970767632926
12:30,10,4.329116369437786,0.16606104098207736,1.6606104098207735,10,4.329116369437786,0.16606104098207736,1.6606104098207735
12:35,12,0.9284667135802789,-0.10768821933038673,-1.2922586319646407,12,0.9284667135802789,-0.10768821933038673,-1.2922586319646407
12:40,13,0.24757833624371867,-0.14565158267286044,-1.8934705747471856,13,0.24757833624371867,-0.14565158267286044,-1.8934705747471856
12:45,9,0.48769753610756506,-0.02074351494970186,-0.18669163454731674,9,0.48769753610756506,-0.02074351494970186,-0.18669163454731674
12:50,15,1.4075834656882837,-0.20312701240947006,-3.046905186142051,15,1.4075834656882837,-0.20312701240947006,-3.046905186142051
12:55,3,0.013970299433880074,-0.1647505163151798,-0.49425154894553947,3,0.013970299433880074,-0.1647505163151798,-0.49425154894553947
13:00,11,3.2624224754255255,0.14490418790842305,1.5939460669926535,10,1.5573699443003008,-0.012928256640887082,-0.1292825664088708
13:05,11,0.9847710791726197,0.08082421263442433,0.8890663389786676,10,1.0024281629554173,0.10418791841814201,1.0418791841814201
13:10,3,0.0,-0.5564002021891572,-1.6692006065674716,3,0.0,-0.5564002021891572,-1.6692006065674716
13:15,11,0.2847557440716831,-0.29290275019133516,-3.221930252104687,11,0.2847557440716831,-0.29290275019133516,-3.221930252104687
13:20,6,0.0,-0.39088170025746516,-2.345290201544791,6,0.0,-0.39088170025746516,-2.345290201544791
13:25,12,2.8129450256230357,0.13488130073350268,1.6185756088020322,12,2.8129450256230357,0.13488130073350268,1.6185756088020322
13:30,9,1.0127658696678452,-0.08986240714392611,-0.808761664295335,9,1.0127658696678452,-0.08986240714392611,-0.808761664295335
