threshold_pct,direction,trades,win_rate_pct,total_net_pnl,total_net_r,avg_net_r
0.25,BUY,260,24.23076923076923,-90.86983503000069,-35.77750340021238,-0.13760578230850917
0.25,SELL,265,20.754716981132077,-246.14596383500066,-55.424098044643316,-0.20914753979110684
0.3,BUY,211,25.118483412322274,-12.025935885000674,-15.40140252509822,-0.07299242902890152
0.3,SELL,210,20.952380952380953,-168.42301709500046,-36.176738403178454,-0.17227018287227835
0.35,BUY,168,25.0,1.2413196299996105,-9.695795463272686,-0.05771306823376599
0.35,SELL,152,21.052631578947366,-63.530105885000125,-18.550345404315294,-0.12204174608102167
0.4,BUY,143,25.874125874125873,9.665056559999847,-5.335084706032346,-0.03730828465756885
0.4,SELL,121,21.487603305785125,2.530703989999935,-10.66816061586217,-0.08816661666001793
0.45,BUY,118,27.11864406779661,52.63304641499996,4.53303446869688,0.038415546344888814
0.45,SELL,100,23.0,20.167961299999913,-1.8863657919821175,-0.018863657919821177
0.5,BUY,99,30.303030303030305,72.7691399549999,13.817770158796524,0.13957343594743962
0.5,SELL,84,25.0,35.020719389999726,4.535437035629619,0.05399329804320975
0.55,BUY,86,31.3953488372093,52.10610438000021,13.690514302971915,0.1591920267787432
0.55,SELL,74,24.324324324324326,34.45300809499968,4.226656150651889,0.057116975008809315
0.6,BUY,73,32.87671232876712,23.071733145000152,15.158834661707946,0.207655269338465
0.6,SELL,60,21.666666666666668,47.254067684999775,-0.49665665975543183,-0.008277610995923864
