symbol,metric,q1,q2,q3
ASHOKLEY,ema_spread_atr,0.021515676815379414,0.050076498324136666,0.10051610730462039
ASHOKLEY,ema21_slope_abs_atr,0.054899755074933984,0.0913362949192112,0.1433843913571271
ASHOKLEY,ema_spread_change_abs_atr,0.07296106402494067,0.1194670732247971,0.1941066065250543
ASHOKLEY,close_ema21_distance_atr,0.5489975507488345,0.913362949192112,1.4338439135714158
ASHOKLEY,close_ema9_distance_atr,0.5178615843360597,0.8398637102769794,1.3502455079643196
ICICIBANK,ema_spread_atr,0.021101679625714673,0.04816972309882454,0.09171854420162183
ICICIBANK,ema21_slope_abs_atr,0.051011005833744245,0.08551656595124603,0.13340821495118987
ICICIBANK,ema_spread_change_abs_atr,0.06887308448356629,0.11452740576676872,0.17478152119209822
ICICIBANK,close_ema21_distance_atr,0.5101100583370021,0.8551656595122901,1.334082149511857
ICICIBANK,close_ema9_distance_atr,0.47800540744552056,0.7995501095331713,1.2251942322627107
INFY,ema_spread_atr,0.024175650042238928,0.05312241381200851,0.09975514735163037
INFY,ema21_slope_abs_atr,0.057045957789570695,0.09053218950357429,0.14376701663944355
INFY,ema_spread_change_abs_atr,0.07598580435363117,0.1228213484459415,0.19386925774457656
INFY,close_ema21_distance_atr,0.5704595778956791,0.9053218950358712,1.4376701663941511
INFY,close_ema9_distance_atr,0.5295962159727156,0.8587111592179667,1.3470764180639452
OLAELEC,ema_spread_atr,0.01977749918423678,0.046526732677269936,0.09366729958453521
OLAELEC,ema21_slope_abs_atr,0.046818596262183924,0.0802813903702887,0.1342581617141642
OLAELEC,ema_spread_change_abs_atr,0.06405938184260482,0.10938064299079571,0.18017127296913849
OLAELEC,close_ema21_distance_atr,0.46818596262179735,0.8028139037026205,1.3425816171413638
OLAELEC,close_ema9_distance_atr,0.44004680115394906,0.7571847633812328,1.2577395955995505
RELIANCE,ema_spread_atr,0.020005425763231867,0.05128007295947907,0.09961413573315012
RELIANCE,ema21_slope_abs_atr,0.054227640085577296,0.08564479641669093,0.13483139106893738
RELIANCE,ema_spread_change_abs_atr,0.07308141752387873,0.11489328356500457,0.1769291476642782
RELIANCE,close_ema21_distance_atr,0.5422764008550581,0.8564479641671319,1.3483139106889181
RELIANCE,close_ema9_distance_atr,0.511588691825778,0.8009089626342489,1.2433115126150862
SUZLON,ema_spread_atr,0.025071810086274668,0.05572223521616122,0.10669210933336191
SUZLON,ema21_slope_abs_atr,0.061276348116103656,0.09832795803961844,0.15040326142896618
SUZLON,ema_spread_change_abs_atr,0.08219852472366222,0.12957805614328496,0.20146026969137587
SUZLON,close_ema21_distance_atr,0.6127634811613877,0.9832795803963672,1.5040326142893599
SUZLON,close_ema9_distance_atr,0.5782455216622826,0.9136378796401685,1.3999998839411303
TMPV,ema_spread_atr,0.022737879375943994,0.05175995160397419,0.1031688162487468
TMPV,ema21_slope_abs_atr,0.06033677979874484,0.09192183666085521,0.14550647767832534
TMPV,ema_spread_change_abs_atr,0.08169749967681594,0.12481079283853216,0.1963473598718502
TMPV,close_ema21_distance_atr,0.6033677979874694,0.9192183666081823,1.4550647767830023
TMPV,close_ema9_distance_atr,0.5643216091144183,0.8692191710008873,1.3611377064215555
