SYMBOL,SL_MODE,trade_date,direction,signal_candle_time,entry_candle_time,entry_price,stop_loss,initial_risk,target,target_r,entry_vwap,mfe,mae,mfe_r,mae_r,exit_time,exit_price,exit_reason,same_candle_ambiguous,gross_pnl,costs,net_pnl
INFY,ORB,2025-08-18,SELL,2025-08-18 10:20:00+05:30,2025-08-18 10:25:00+05:30,1411.0941,1433.7,22.60590000000002,1365.8823,2.0,1417.0830361297806,11.794100000000071,1.3059000000000651,0.5217266288889211,0.057768104786806274,2025-08-18 15:25:00+05:30,1406.3028,END_OF_DAY,False,4.791300000000092,2.8173969,1.9739031000000922
INFY,ORB,2025-08-19,BUY,2025-08-19 09:55:00+05:30,2025-08-19 10:00:00+05:30,1413.60645,1402.4,11.206449999999904,1436.0193499999998,2.0,1410.0422418466499,5.09355000000005,6.106449999999995,0.4545194954691355,0.5449049431354307,2025-08-19 15:25:00+05:30,1411.19405,END_OF_DAY,False,-2.412399999999934,2.8248005000000003,-5.237200499999934
INFY,ORB,2025-08-20,BUY,2025-08-20 09:40:00+05:30,2025-08-20 09:45:00+05:30,1433.21625,1410.2,23.0162499999999,1479.2487499999997,2.0,1426.8601511620461,34.08375000000001,1.6162500000000364,1.4808559170151592,0.0702221256720814,2025-08-20 15:25:00+05:30,1463.96765,END_OF_DAY,False,30.751400000000103,2.8971839,27.8542161000001
INFY,ORB,2025-08-22,SELL,2025-08-22 09:50:00+05:30,2025-08-22 09:55:00+05:30,1458.77025,1472.4,13.629750000000058,1431.51075,2.0,1462.8738632802394,4.170250000000124,9.029749999999922,0.3059667271960312,0.6625029806122551,2025-08-22 15:25:00+05:30,1457.1282,END_OF_DAY,False,1.6420499999999265,2.9158984500000003,-1.2738484500000737
INFY,ORB,2025-08-25,BUY,2025-08-25 09:30:00+05:30,2025-08-25 09:35:00+05:30,1491.3453,1474.8,16.545299999999997,1524.4359,2.0,1486.5678298760067,15.054700000000139,4.345299999999952,0.9099079496896485,0.2626304751198197,2025-08-25 15:25:00+05:30,1500.0496,END_OF_DAY,False,8.704300000000103,2.9913949000000004,5.7129051000001025
INFY,ORB,2025-08-26,BUY,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,1504.9521,1487.5,17.452099999999973,1539.8563,2.0,1499.6278192957263,0.8478999999999814,18.552099999999882,0.04858441104508814,1.0630296640518855,2025-08-26 12:30:00+05:30,1486.75625,STOP_LOSS,False,-18.195850000000064,2.99170835,-21.187558350000064
INFY,ORB,2025-08-28,SELL,2025-08-28 10:10:00+05:30,2025-08-28 10:15:00+05:30,1473.8627,1497.2,23.33730000000014,1427.1880999999996,2.0,1480.9423373391355,7.56269999999995,6.637300000000096,0.32406062397963364,0.28440736503366093,2025-08-28 15:25:00+05:30,1468.9341,END_OF_DAY,False,4.92859999999996,2.9427968,1.9858031999999604
INFY,ORB,2025-08-29,SELL,2025-08-29 09:30:00+05:30,2025-08-29 09:35:00+05:30,1454.57235,1470.1,15.527649999999994,1423.51705,2.0,1458.9894531141676,17.972350000000006,4.127650000000131,1.1574417249229607,0.26582580107100123,2025-08-29 15:25:00+05:30,1438.61895,END_OF_DAY,False,15.953399999999874,2.8931913,13.060208699999874
INFY,ORB,2025-09-02,BUY,2025-09-02 11:45:00+05:30,2025-09-02 11:50:00+05:30,1472.83605,1454.8,18.036049999999932,1508.9081499999998,2.0,1464.220852128313,7.963950000000068,11.336049999999886,0.4415573254676106,0.6285217661294978,2025-09-02 15:25:00+05:30,1462.56835,END_OF_DAY,False,-10.267699999999877,2.9354044,-13.203104399999877
INFY,ORB,2025-09-03,SELL,2025-09-03 09:45:00+05:30,2025-09-03 09:50:00+05:30,1447.3759499999999,1470.1,22.724050000000034,1401.9278499999998,2.0,1454.1769778790228,5.575949999999921,2.8240500000001703,0.24537659440108223,0.12427582231161109,2025-09-03 15:25:00+05:30,1449.42435,END_OF_DAY,False,-2.048400000000129,2.8968002999999998,-4.945200300000129
INFY,ORB,2025-09-04,SELL,2025-09-04 09:40:00+05:30,2025-09-04 09:45:00+05:30,1439.5798499999999,1452.6,13.020150000000058,1413.5395499999997,2.0,1444.853569887838,10.379849999999806,5.720150000000103,0.7972143178073801,0.43933057606863807,2025-09-04 15:25:00+05:30,1431.21525,END_OF_DAY,False,8.364599999999882,2.8707951,5.493804899999882
INFY,ORB,2025-09-05,SELL,2025-09-05 10:05:00+05:30,2025-09-05 10:10:00+05:30,1428.98515,1441.5,12.514850000000024,1403.95545,2.0,1427.7306723539093,26.385150000000067,0.7148500000000695,2.108307330890903,0.05712014127217411,2025-09-05 10:15:00+05:30,1404.657427725,TARGET,False,24.327722275000042,2.8336425777249996,21.49407969727504
INFY,ORB,2025-09-05,SELL,2025-09-05 14:20:00+05:30,2025-09-05 14:25:00+05:30,1413.4929,1441.5,28.007100000000037,1357.4787,2.0,1415.2240036026255,2.392900000000054,2.107099999999946,0.08543904938390805,0.07523449411041996,2025-09-05 15:25:00+05:30,1414.60695,END_OF_DAY,False,-1.1140500000001339,2.82809985,-3.942149850000134
INFY,ORB,2025-09-08,SELL,2025-09-08 09:55:00+05:30,2025-09-08 10:00:00+05:30,1411.0941,1427.1,16.005899999999883,1379.0823000000003,2.0,1417.2935915131352,13.094100000000026,2.2058999999999287,0.8180795831537196,0.13781792963844236,2025-09-08 15:25:00+05:30,1406.20275,END_OF_DAY,False,4.891350000000102,2.81729685,2.0740531500001023
INFY,ORB,2025-09-09,BUY,2025-09-09 09:30:00+05:30,2025-09-09 09:35:00+05:30,1454.1267,1441.3,12.826700000000073,1479.7801000000002,2.0,1448.6563029826968,21.173299999999927,1.9266999999999825,1.6507207621601663,0.15021010860158665,2025-09-09 15:25:00+05:30,1469.8646999999999,END_OF_DAY,False,15.737999999999829,2.9239914,12.814008599999829
INFY,ORB,2025-09-10,BUY,2025-09-10 10:00:00+05:30,2025-09-10 10:05:00+05:30,1495.4473500000001,1477.3,18.147350000000188,1531.7420500000005,2.0,1489.583774560025,6.952649999999949,4.347350000000233,0.3831220536331683,0.23955839282320493,2025-09-10 15:25:00+05:30,1499.4499,END_OF_DAY,False,4.002549999999928,2.99489725,1.0076527499999282
INFY,ORB,2025-09-11,SELL,2025-09-11 09:50:00+05:30,2025-09-11 09:55:00+05:30,1479.3599499999998,1495.1,15.74005000000011,1447.8798499999996,2.0,1485.1732247309967,4.75994999999989,4.74005000000011,0.30241009399588037,0.30114580322172274,2025-09-11 15:25:00+05:30,1480.63995,END_OF_DAY,False,-1.2800000000002,2.9599998999999997,-4.2399999000002
INFY,ORB,2025-09-12,SELL,2025-09-12 09:40:00+05:30,2025-09-12 09:45:00+05:30,1490.95415,1510.2,19.24585000000002,1452.46245,2.0,1501.051267823434,2.054149999999936,7.645849999999882,0.1067321006866381,0.39727265878097745,2025-09-12 15:25:00+05:30,1493.44635,END_OF_DAY,False,-2.4921999999999116,2.9844005,-5.476600499999911
INFY,ORB,2025-09-16,BUY,2025-09-16 15:05:00+05:30,2025-09-16 15:10:00+05:30,1481.5403999999999,1471.7,9.840399999999818,1501.2211999999995,2.0,1475.3674105717632,0.35960000000022774,3.540399999999863,0.03654322995002585,0.3597821226779327,2025-09-16 15:25:00+05:30,1480.6593,END_OF_DAY,False,-0.881099999999833,2.9621997,-3.8432996999998332
INFY,ORB,2025-09-17,BUY,2025-09-17 11:45:00+05:30,2025-09-17 11:50:00+05:30,1491.9456,1481.9,10.045599999999922,1512.0367999999999,2.0,1486.9422962868161,2.454400000000078,6.145600000000059,0.24432587401450356,0.6117703273074885,2025-09-17 15:25:00+05:30,1488.5553499999999,END_OF_DAY,False,-3.390250000000151,2.9805009499999997,-6.370750950000151
INFY,ORB,2025-09-18,SELL,2025-09-18 10:10:00+05:30,2025-09-18 10:15:00+05:30,1510.54435,1522.1,11.555650000000014,1487.4330499999999,2.0,1517.3817158456668,4.644349999999804,9.555650000000014,0.4019116189915581,0.8269244914825218,2025-09-18 15:25:00+05:30,1509.25425,END_OF_DAY,False,1.2900999999999385,3.0197986,-1.7296986000000616
INFY,ORB,2025-09-19,SELL,2025-09-19 09:30:00+05:30,2025-09-19 09:35:00+05:30,1495.6518,1518.4,22.748199999999997,1450.1554,2.0,1506.1955795130252,7.751800000000003,18.848199999999906,0.34076542319831915,0.8285578639188994,2025-09-19 15:25:00+05:30,1512.05565,END_OF_DAY,False,-16.40384999999992,3.00770745,-19.41155744999992
INFY,ORB,2025-09-22,BUY,2025-09-22 09:30:00+05:30,2025-09-22 09:35:00+05:30,1476.03765,1450.6,25.437650000000076,1526.9129500000001,2.0,1466.7918637638854,6.562349999999924,17.23765000000003,0.25797783993410967,0.6776431785168826,2025-09-22 15:25:00+05:30,1468.36545,END_OF_DAY,False,-7.672199999999975,2.9444031,-10.616603099999976
INFY,ORB,2025-09-24,SELL,2025-09-24 10:40:00+05:30,2025-09-24 10:45:00+05:30,1454.57235,1465.0,10.427650000000085,1433.7170499999997,2.0,1459.7554977222696,3.2723499999999603,10.22765000000004,0.31381471376579895,0.9808202231566994,2025-09-24 15:25:00+05:30,1463.9316000000001,END_OF_DAY,False,-9.359250000000202,2.9185039500000003,-12.277753950000202
